Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,K'Andre Miller,NYR,D,79,1465.3,7,24,9,15,31,46.27,101,6.93,5.47,215,149,75,14,5,10,35,16,15,1,0,4,64,50,152,91,72,0,0,-,1420,1322,51.79,1049,968,52.01,753,679,52.58,67,66,50.38,63.1,63.86,49.7,703,680,50.83,291,297,49.49,42,38,52.5,412,383,51.82,15,12,55.56,637,574,52.6,10,16,38.46,8.9,90.28,0.992,120,252,159,1068,43.01,397,427,402,49.69
2022-2023,Matt Dumba,MIN,D,79,1453.85,4,10,6,4,14,31.11,88,4.55,5.02,236,143,65,12,4,20,67,28,25,3,0,15,32,14,96,56,83,0,0,-,1326,1376,49.07,968,1010,48.94,668,732,47.71,45,49,47.87,57.68,60.88,48.65,626,645,49.25,259,264,49.52,29,25,53.7,367,381,49.06,10,14,41.67,600,635,48.58,6,10,37.5,6.74,93.31,1.0,117,246,153,1057,43.33,399,409,402,49.81
2022-2023,Brett Pesce,CAR,D,82,1449.25,2,18,11,7,20,30.77,123,1.63,5.09,300,186,66,10,8,24,33,15,14,1,0,10,19,50,32,108,65,0,0,-,1575,1130,58.23,1191,880,57.51,811,641,55.85,65,55,54.17,74.25,54.98,57.45,749,547,57.79,351,267,56.8,43,24,64.18,398,280,58.7,13,21,38.24,750,489,60.53,9,10,47.37,8.01,91.42,0.994,240,273,160,1030,60.0,549,450,401,57.79
2022-2023,Nick Leddy,STL,D,78,1448.033333,2,18,10,8,20,30.77,73,2.74,3.84,155,110,49,7,2,9,20,10,10,0,0,14,33,40,37,44,70,0,0,-,1172,1395,45.66,881,1047,45.7,630,750,45.65,65,68,48.87,54.91,67.99,44.68,616,733,45.66,235,278,45.81,27,39,40.91,381,455,45.57,32,17,65.31,499,584,46.08,6,12,33.33,10.32,90.93,1.013,129,354,237,1115,35.25,304,485,466,39.48
2022-2023,Scott Mayfield,NYI,D,82,1442.233333,6,16,7,9,22,43.14,118,5.08,4.98,291,171,70,14,2,24,70,27,25,0,2,14,59,21,99,89,106,0,0,-,1348,1406,48.95,952,1004,48.67,674,684,49.63,51,50,50.5,62.79,62.08,50.28,692,681,50.4,306,288,51.52,29,27,51.79,386,393,49.55,14,17,45.16,546,616,46.99,8,6,57.14,7.57,92.69,1.003,110,286,195,1188,36.07,316,429,447,41.42
2022-2023,Ryan Pulock,NYI,D,82,1438.35,4,17,8,9,21,31.34,110,3.64,4.82,266,164,64,4,2,24,12,6,6,0,0,7,34,19,132,105,85,0,0,-,1296,1437,47.42,946,1057,47.23,680,739,47.92,67,53,55.83,62.4,69.52,47.3,679,722,48.47,299,341,46.72,31,29,51.67,380,381,49.93,29,15,65.91,539,625,46.31,7,9,43.75,9.85,92.83,1.027,154,317,235,1124,39.59,363,471,503,41.92
2022-2023,Adam Fox,NYR,D,82,1435.05,8,26,12,14,34,49.28,101,7.92,6.76,207,138,100,27,3,12,20,10,10,0,0,13,58,65,19,85,78,0,0,-,1418,1192,54.33,1070,897,54.4,763,671,53.21,69,47,59.48,70.32,59.22,54.28,777,621,55.58,322,266,54.76,41,23,64.06,455,355,56.17,17,15,53.13,578,489,54.17,11,9,55.0,9.04,93.0,1.02,183,301,180,1019,50.41,485,465,378,56.2
2022-2023,Mikey Anderson,L.A,D,77,1433.816667,4,13,2,11,17,29.31,83,4.82,4.21,181,125,60,10,0,15,38,15,14,0,1,12,27,17,150,158,11,0,0,-,1264,1174,51.85,953,866,52.39,698,605,53.57,58,48,54.72,58.05,56.76,50.56,628,586,51.73,240,254,48.58,30,34,46.88,388,332,53.89,20,11,64.52,735,624,54.08,8,3,72.73,8.31,92.07,1.004,146,330,187,773,43.84,393,479,405,49.25
2022-2023,Brady Skjei,CAR,D,81,1433.666667,11,16,6,10,27,45.0,160,6.88,7.12,354,243,105,21,4,32,38,19,19,0,0,4,46,32,64,70,43,0,0,-,1560,1102,58.6,1181,854,58.03,796,622,56.14,60,58,50.85,72.97,53.57,57.66,738,534,58.02,345,261,56.93,41,24,63.08,393,273,59.01,12,24,33.33,742,474,61.02,7,10,41.18,7.54,90.68,0.982,229,267,166,1037,57.97,539,448,401,57.34
2022-2023,MacKenzie Weegar,CGY,D,81,1430.733333,4,22,8,14,26,41.94,138,2.9,7.18,320,205,88,14,4,22,39,18,17,1,0,9,53,34,167,118,80,0,0,-,1627,1023,61.4,1184,749,61.25,842,511,62.23,62,48,56.36,70.28,50.39,58.24,763,544,58.38,279,237,54.07,33,28,54.1,484,307,61.19,20,14,58.82,747,400,65.13,9,6,60.0,7.36,90.61,0.98,198,356,228,1317,46.48,568,533,422,57.37
2022-2023,Mikhail Sergachev,T.B,D,79,1422.6,7,26,15,11,33,45.83,120,5.83,5.87,279,177,80,13,5,21,49,23,22,1,0,10,39,44,108,123,19,0,0,-,1435,1315,52.18,1067,982,52.07,766,736,51.0,72,59,54.96,71.51,62.21,53.48,763,683,52.77,342,299,53.35,40,29,57.97,421,384,52.3,19,21,47.5,805,707,53.24,13,9,59.09,9.4,91.98,1.014,226,267,185,997,54.99,513,447,382,57.32
2022-2023,Dougie Hamilton,N.J,D,82,1422.55,13,23,11,12,36,44.44,208,6.25,8.81,411,287,125,23,12,31,44,22,22,0,0,6,65,18,58,71,9,0,0,-,1615,1312,55.18,1210,976,55.35,866,676,56.16,81,57,58.7,73.38,58.03,55.84,791,617,56.18,314,250,55.67,45,35,56.25,477,367,56.52,20,17,54.05,921,723,56.02,16,5,76.19,9.35,91.57,1.009,228,277,177,1155,56.3,532,443,404,56.84
