Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2023-2024,Kirill Kaprizov,MIN,L,75,1203.333333,21,26,18,8,47,65.28,161,13.04,16.61,338,238,182,85,11,29,28,13,13,0,0,23,61,33,47,64,34,0,0,-
2023-2024,Brady Tkachuk,OTT,L,81,1182.433333,23,24,20,4,47,73.44,245,9.39,23.69,399,329,219,94,18,50,116,33,23,6,4,43,35,42,259,80,30,84,90,48.28
2023-2024,Elias Pettersson,VAN,C,82,1089.9,14,32,23,9,46,68.66,114,12.28,11.68,218,162,135,61,8,22,8,4,4,0,0,23,16,41,95,99,53,339,332,50.52
2023-2024,William Nylander,TOR,R,82,1166.7,22,23,16,7,45,78.95,193,11.4,16.34,355,256,181,62,17,32,14,7,7,0,0,17,27,48,25,75,20,46,53,46.46
2023-2024,Mitchell Marner,TOR,R,69,1006.25,16,29,19,10,45,80.36,101,15.84,11.07,263,173,138,47,6,18,12,6,6,0,0,12,48,48,46,61,36,4,8,33.33
2023-2024,Trevor Moore,L.A,L,82,1116.366667,25,20,11,9,45,76.27,189,13.23,18.22,332,271,151,70,10,28,22,10,10,0,0,17,22,26,86,128,44,11,33,25
2023-2024,Robert Thomas,STL,C,82,1193.533333,14,31,19,12,45,75,100,14,12.43,178,143,128,59,4,9,38,15,14,0,1,14,38,56,14,59,37,584,529,52.47
2023-2024,Wyatt Johnston,DAL,C,82,1072.716667,22,23,18,5,45,86.54,174,12.64,21.3,316,244,204,97,11,36,28,14,14,0,0,18,26,30,42,89,36,269,267,50.19
2023-2024,Brock Nelson,NYI,C,82,1140.966667,22,22,15,7,44,80,176,12.5,18.28,288,231,200,91,9,28,20,10,10,0,0,16,37,33,31,60,42,329,391,45.69
2023-2024,Max Domi,TOR,C,80,968.0166667,8,36,23,13,44,67.69,117,6.84,8.76,205,159,91,42,11,12,112,31,21,6,4,17,38,23,48,62,19,190,187,50.4
2023-2024,Jordan Kyrou,STL,C,82,1166.183333,22,22,16,6,44,78.57,193,11.4,14.9,360,269,187,61,14,30,16,8,8,0,0,13,50,43,25,91,27,3,6,33.33
2023-2024,Nazem Kadri,CGY,C,82,1159.366667,12,31,20,11,43,71.67,185,6.49,15.86,356,261,166,65,15,35,35,15,14,1,0,41,54,47,44,111,20,453,484,48.35
2023-2024,Alex DeBrincat,DET,R,82,1154.6,16,27,17,10,43,67.19,165,9.7,15.42,344,244,176,54,10,38,28,11,9,2,0,19,30,46,54,52,33,14,12,53.85
2023-2024,Casey Mittelstadt,"BUF, COL",C,80,1136.816667,13,30,15,15,43,63.24,89,14.61,8.23,173,122,89,35,2,16,20,10,10,0,0,6,35,42,19,84,27,424,483,46.75
2023-2024,Nico Hischier,N.J,C,71,957.2833333,18,25,14,11,43,78.18,112,16.07,15.4,210,164,139,72,6,22,10,5,5,0,0,18,20,44,37,55,31,549,434,55.85
2023-2024,Jason Robertson,DAL,L,82,1186.566667,17,26,15,11,43,65.15,159,10.69,13.31,323,224,148,58,14,28,20,10,10,0,0,15,37,57,68,96,28,0,0,-
2023-2024,Quinn Hughes,VAN,D,82,1540.616667,10,33,13,20,43,46.74,139,7.19,6.31,383,209,111,9,6,41,28,14,14,0,0,12,44,32,21,104,46,0,0,-
2023-2024,Lucas Raymond,DET,L,82,1128.45,17,26,17,9,43,75.44,112,15.18,11.39,216,158,121,60,10,19,24,12,12,0,0,40,23,44,55,109,23,4,2,66.67
2023-2024,Tim Stützle,OTT,C,75,1183.233333,12,31,13,18,43,74.14,135,8.89,15.16,253,196,146,64,9,29,20,10,10,0,0,34,43,39,83,110,37,206,249,45.27
2023-2024,Evgeni Malkin,PIT,C,82,1150.566667,19,23,17,6,42,73.68,119,15.97,13.01,233,170,145,64,5,19,58,27,27,0,0,27,38,81,23,69,37,367,392,48.35
2023-2024,Mark Scheifele,WPG,C,74,1192.516667,13,29,20,9,42,71.19,108,12.04,12.87,195,158,139,68,4,11,53,18,14,3,1,27,26,40,53,118,36,492,532,48.05
2023-2024,Jonathan Marchessault,VGK,R,82,1103.483333,25,17,13,4,42,77.78,175,14.29,16.36,313,237,141,57,15,31,34,17,17,0,0,9,29,45,79,66,21,4,16,20
2023-2024,Jake Guentzel,"CAR, PIT","C, L",67,1017,19,23,16,7,42,70,159,11.95,20.76,288,228,199,97,6,41,16,8,8,0,0,22,20,29,40,74,25,6,15,28.57
2023-2024,Josh Morrissey,WPG,D,81,1605.483333,8,34,17,17,42,50.6,147,5.44,7.29,325,220,93,15,3,16,44,22,22,0,0,22,36,40,72,85,88,0,0,-
2023-2024,Alex Tuch,BUF,R,75,1054.966667,18,24,15,9,42,77.78,137,13.14,13.98,257,206,131,60,13,13,38,16,14,2,0,16,24,58,51,39,66,26,36,41.94
2023-2024,Mathew Barzal,NYI,C,80,1270.2,14,28,24,4,42,67.74,170,8.24,15.45,300,231,142,67,15,32,20,10,10,0,0,26,70,81,46,43,47,49,65,42.98
2023-2024,Alexis Lafrenière,NYR,L,82,1234.3,19,23,16,7,42,60.87,178,10.67,18.95,331,262,210,92,13,21,26,13,13,0,0,24,23,44,55,110,19,16,45,26.23
2023-2024,Roman Josi,NSH,D,82,1543.8,12,29,17,12,41,50,188,6.38,8.79,415,262,132,16,7,41,41,19,18,1,0,15,48,28,40,93,133,0,0,-
2023-2024,Bo Horvat,NYI,C,81,1201.316667,17,24,12,12,41,67.21,176,9.66,15.72,292,240,166,67,14,25,28,10,9,0,1,12,37,32,50,50,35,545,469,53.75
2023-2024,Sam Reinhart,FLA,C,82,1060.966667,20,21,14,7,41,70.69,124,16.13,14.48,235,187,129,56,8,23,23,8,7,1,0,8,29,26,62,108,49,145,179,44.75
2023-2024,Travis Konecny,PHI,R,76,1079.416667,20,21,16,5,41,71.93,165,12.12,14.92,334,249,146,60,11,29,29,13,12,1,0,19,20,40,65,69,26,34,47,41.98
2023-2024,Conor Garland,VAN,R,82,1003.666667,19,22,15,7,41,74.55,181,10.5,16.68,318,247,163,72,12,27,33,11,9,1,1,24,6,47,45,109,32,1,6,14.29
2023-2024,Joel Farabee,PHI,L,82,1091.2,18,23,18,5,41,83.67,148,12.16,13.05,255,206,133,62,15,18,31,10,8,1,1,12,26,28,59,75,47,18,41,30.51
2023-2024,JJ Peterka,BUF,R,82,1135.083333,23,18,8,10,41,67.21,187,12.3,17.2,354,262,174,67,13,22,18,9,9,0,0,24,24,36,26,89,18,3,12,20
2023-2024,Carter Verhaeghe,FLA,C,76,1034.75,20,20,12,8,40,70.18,172,11.63,18.15,346,237,189,80,12,30,28,14,14,0,0,9,32,36,57,109,19,31,40,43.66
2023-2024,Zach Werenski,CBJ,D,70,1337.783333,8,32,15,17,40,50,159,5.03,8.1,337,219,108,24,4,31,12,6,6,0,0,3,25,33,16,38,113,0,0,-
2023-2024,Cale Makar,COL,D,77,1304.083333,11,29,10,19,40,55.56,136,8.09,7.74,325,206,103,15,8,20,12,6,6,0,0,20,31,52,31,27,106,0,0,-
2023-2024,Gustav Nyquist,NSH,C,81,1057.416667,11,28,19,9,39,69.64,109,10.09,12.01,185,147,96,53,8,20,4,2,2,0,0,7,24,32,25,65,32,11,20,35.48
2023-2024,Matt Duchene,DAL,C,80,1075.65,14,25,16,9,39,72.22,121,11.57,13.6,251,184,139,62,7,17,16,8,8,0,0,11,50,34,25,77,46,304,235,56.4
2023-2024,Vladimir Tarasenko,"FLA, OTT",R,76,963.7333333,17,22,13,9,39,70.91,98,17.35,10.12,213,146,104,43,8,24,12,6,6,0,0,8,23,18,74,71,35,3,2,60
2023-2024,Vincent Trocheck,NYR,C,82,1239.616667,9,30,22,8,39,60,131,6.87,16.44,281,225,170,79,3,29,45,21,20,1,0,22,28,36,141,101,74,584,435,57.31
2023-2024,Devon Toews,COL,D,82,1468.6,10,29,12,17,39,49.37,139,7.19,6.49,301,189,81,13,3,24,18,9,9,0,0,10,36,47,61,33,79,0,0,-
2023-2024,Sebastian Aho,CAR,C,78,1074.783333,15,24,18,6,39,67.24,129,11.63,14.41,259,206,133,60,9,20,18,9,9,0,0,13,44,36,41,57,14,389,363,51.73
2023-2024,Matthew Tkachuk,FLA,L,80,1035.85,14,25,17,8,39,69.64,142,9.86,13.77,277,207,144,79,5,29,70,28,25,2,1,46,47,32,131,63,22,0,2,0
2023-2024,Owen Tippett,PHI,R,78,1012.533333,18,21,15,6,39,76.47,212,8.49,16.39,393,304,183,71,27,36,8,4,4,0,0,16,18,28,115,73,44,16,23,41.03
2023-2024,Matt Boldy,MIN,L,75,1041.116667,18,21,15,6,39,69.64,135,13.33,13.39,286,202,169,61,5,26,42,19,19,0,0,17,37,53,21,99,29,23,37,38.33
2023-2024,Matias Maccelli,ARI,L,82,1098.433333,12,27,15,12,39,76.47,111,10.81,12.38,217,156,114,53,9,21,6,3,3,0,0,12,48,20,23,70,20,6,6,50
2023-2024,Tyler Seguin,DAL,C,68,876.2333333,20,18,7,11,38,77.55,125,16,12.73,211,169,124,65,8,17,18,9,9,0,0,6,20,16,53,38,16,265,195,57.61
2023-2024,Blake Coleman,CGY,C,78,1093.2,17,21,7,14,38,76,158,10.76,17.01,289,215,161,72,16,32,59,24,22,1,1,21,28,35,109,52,44,29,28,50.88
2023-2024,Aleksander Barkov,FLA,C,73,928.35,13,25,17,8,38,71.7,116,11.21,14.08,233,175,148,63,11,29,22,10,10,0,0,15,23,43,72,70,35,390,302,56.36
2023-2024,Pavel Zacha,BOS,C,78,983.4333333,13,25,11,14,38,67.86,82,15.85,9.96,151,123,104,52,9,10,16,8,8,0,0,12,25,18,83,54,25,396,345,53.44
2023-2024,Clayton Keller,ARI,R,78,1149.116667,19,19,13,6,38,79.17,151,12.58,13.66,294,221,153,51,8,23,28,14,14,0,0,28,38,36,15,87,24,22,30,42.31
2023-2024,Cole Caufield,MTL,R,82,1199.983333,16,22,16,6,38,65.52,214,7.48,19.55,392,295,179,58,8,37,12,6,6,0,0,17,34,30,48,61,18,7,8,46.67
2023-2024,Joe Pavelski,DAL,C,82,1085.316667,12,25,14,11,37,68.52,125,9.6,14.51,219,170,140,75,6,19,16,8,8,0,0,19,51,19,64,41,61,299,281,51.55
2023-2024,Victor Hedman,T.B,D,78,1358.316667,8,29,16,13,37,51.39,109,7.34,7.17,273,185,83,14,3,24,52,18,16,0,2,8,39,20,48,62,82,0,0,-
2023-2024,Mattias Ekholm,EDM,D,79,1364.35,8,29,20,9,37,42.05,153,5.23,8.16,316,214,104,20,5,23,45,21,20,1,0,13,44,30,117,112,80,0,0,-
2023-2024,Kevin Fiala,L.A,L,82,1144.966667,15,22,14,8,37,71.15,151,9.93,14.75,314,233,155,60,7,28,44,21,21,0,0,15,47,37,52,79,27,10,27,27.03
2023-2024,Ivan Barbashev,VGK,C,82,1143.733333,15,22,16,6,37,59.68,101,14.85,12.44,191,145,143,62,4,29,40,16,14,2,0,23,35,25,159,75,42,30,45,40
2023-2024,Warren Foegele,EDM,L,82,1013.416667,17,20,14,6,37,78.72,179,9.5,22.07,331,253,208,107,14,45,39,13,11,1,1,19,36,34,80,108,23,4,3,57.14
2023-2024,Mason Marchment,DAL,L,81,1079.9,15,22,15,7,37,68.52,127,11.81,13.13,239,195,146,54,9,22,46,20,18,2,0,24,40,42,87,117,32,4,5,44.44
2023-2024,Nick Suzuki,MTL,C,82,1239.516667,16,21,11,10,37,63.79,112,14.29,13.11,212,171,126,51,8,13,30,14,14,0,0,16,51,34,52,92,34,539,504,51.68
2023-2024,Drake Batherson,OTT,R,82,1173.866667,20,17,12,5,37,72.55,143,13.99,14.22,290,215,145,62,15,21,40,16,15,0,1,13,33,42,83,76,30,32,46,41.03
2023-2024,Evan Bouchard,EDM,D,81,1456.916667,8,29,10,19,37,39.36,146,5.48,6.5,329,208,90,11,6,26,28,14,14,0,0,10,67,48,60,111,93,0,0,-
2023-2024,Seth Jarvis,CAR,C,81,1052.983333,14,23,14,9,37,63.79,103,13.59,13.39,204,159,141,72,9,20,8,4,4,0,0,14,29,30,90,144,32,72,84,46.15
2023-2024,Quinton Byfield,L.A,"C, R",80,1072.916667,12,25,15,10,37,78.72,125,9.6,13.28,246,192,139,66,6,24,34,13,12,0,1,14,14,45,62,126,18,32,37,46.38
2023-2024,Kris Letang,PIT,D,82,1536.533333,9,27,13,14,36,46.15,132,6.82,4.92,331,193,69,12,3,28,58,25,24,0,1,11,53,39,102,105,99,0,0,-
2023-2024,Claude Giroux,OTT,R,82,1154.25,14,22,12,10,36,69.23,130,10.77,12.46,247,178,126,60,11,24,22,11,11,0,0,18,31,43,30,48,22,342,271,55.79
2023-2024,Charlie Coyle,BOS,C,82,1035.4,14,22,10,12,36,80,96,14.58,12.1,180,144,112,61,8,22,30,15,15,0,0,18,30,37,99,53,44,517,472,52.28
2023-2024,Johnny Gaudreau,CBJ,L,81,1176.333333,7,29,22,7,36,60,115,6.09,11.73,205,147,109,43,10,19,12,6,6,0,0,17,30,33,1,26,22,0,0,-
2023-2024,Dylan Strome,WSH,C,82,1157.35,16,20,14,6,36,75,116,13.79,14.74,222,171,143,72,7,24,18,9,9,0,0,9,26,38,12,41,53,490,476,50.72
2023-2024,Brock Boeser,VAN,R,81,1123.016667,18,18,13,5,36,59.02,113,15.93,12.5,251,170,146,58,8,21,10,5,5,0,0,4,19,22,46,30,26,12,12,50
2023-2024,Trent Frederic,BOS,C,82,1025.7,15,21,13,8,36,78.26,112,13.39,14.68,214,158,130,65,15,32,62,22,16,6,0,21,25,15,180,102,43,115,139,45.28
2023-2024,Noah Dobson,NYI,D,79,1509.233333,8,28,16,12,36,50.7,143,5.59,4.88,352,208,79,9,10,24,30,15,15,0,0,5,52,25,63,129,147,0,0,-
2023-2024,Nils Hoglander,VAN,L,80,910.8,24,12,8,4,36,69.23,110,21.82,16.02,182,160,133,85,7,13,41,19,18,1,0,18,12,29,90,83,19,0,0,-
2023-2024,John Tavares,TOR,C,80,1107.933333,15,20,12,8,35,70,167,8.98,21.74,308,237,198,111,11,41,22,11,11,0,0,17,42,34,120,92,35,594,403,59.58
2023-2024,Bryan Rust,PIT,R,62,894.1833333,19,16,9,7,35,58.33,147,12.93,16.89,251,213,164,75,9,28,18,9,9,0,0,10,22,24,34,54,40,0,2,0
2023-2024,William Karlsson,VGK,C,70,852.75,19,16,10,6,35,76.09,119,15.97,12.64,211,163,118,60,8,23,6,3,3,0,0,16,27,31,34,66,32,403,311,56.44
2023-2024,Tyler Bertuzzi,TOR,L,80,1117.916667,15,20,11,9,35,59.32,128,11.72,17.63,251,193,158,94,9,24,38,19,19,0,0,22,43,43,91,117,44,3,7,30
2023-2024,Jonathan Drouin,COL,L,79,1093.35,13,22,11,11,35,52.24,97,13.4,10.95,199,146,138,69,8,15,20,10,10,0,0,11,23,31,38,64,32,30,28,51.72
2023-2024,Anthony Mantha,"VGK, WSH",R,74,917.1166667,20,15,9,6,35,70,94,21.28,10.46,189,138,108,55,9,14,25,10,9,1,0,9,17,23,49,33,30,2,6,25
2023-2024,Adrian Kempe,L.A,R,77,1007.416667,17,18,10,8,35,74.47,154,11.04,11.99,310,216,134,44,6,24,62,26,25,0,1,31,17,21,85,60,25,0,6,0
2023-2024,Roope Hintz,DAL,C,80,997.4666667,14,21,11,10,35,59.32,114,12.28,11.75,222,164,131,59,7,19,20,10,10,0,0,18,30,19,32,61,28,280,212,56.91
2023-2024,Ryan O'Reilly,NSH,C,82,1098.7,11,23,8,15,34,59.65,109,10.09,13.43,174,144,128,71,2,18,10,5,5,0,0,11,24,50,18,44,47,571,460,55.38
2023-2024,Brandon Saad,STL,L,82,1063.5,18,16,7,9,34,72.34,112,16.07,12.78,191,151,125,59,11,14,18,9,9,0,0,10,14,27,12,31,14,10,10,50
2023-2024,Jack Eichel,VGK,C,63,847.8166667,15,19,11,8,34,79.07,164,9.15,13.12,246,207,126,50,18,24,19,4,2,1,1,19,34,40,18,62,45,333,378,46.84
2023-2024,Connor Bedard,CHI,C,68,1043.15,16,18,12,6,34,91.89,136,11.76,15.46,260,196,151,53,17,27,26,13,13,0,0,20,46,37,51,57,25,190,300,38.78
2023-2024,Nick Bjugstad,ARI,C,76,988.0333333,17,16,9,7,33,63.46,123,13.82,13.11,232,187,118,58,11,21,31,14,13,1,0,13,31,28,98,69,37,446,435,50.62
2023-2024,Phillip Danault,L.A,C,78,1058.233333,13,20,14,6,33,64.71,129,10.08,13.63,228,184,134,64,6,31,14,7,7,0,0,12,28,15,62,51,47,449,409,52.33
2023-2024,Jared McCann,SEA,L,80,952.3,16,17,11,6,33,76.74,132,12.12,10.61,274,196,131,44,17,18,21,9,8,1,0,30,25,32,38,48,19,122,131,48.22
2023-2024,Michael Bunting,"CAR, PIT",L,81,1013.516667,11,22,16,6,33,73.33,116,9.48,12.94,224,162,119,60,8,22,51,19,17,1,1,33,38,36,42,58,21,7,13,35
2023-2024,Joel Eriksson Ek,MIN,C,77,995.4333333,15,18,6,12,33,57.89,159,9.43,14.84,264,215,129,66,5,21,38,19,19,0,0,21,13,27,129,69,28,461,509,47.53
2023-2024,Jack Hughes,N.J,C,62,976.5666667,13,20,11,9,33,76.74,181,7.18,16.72,339,247,172,50,11,35,10,5,5,0,0,22,51,55,6,42,22,95,169,35.98
2023-2024,Marco Rossi,MIN,C,82,1141.5,18,15,9,6,33,75,124,14.52,14.42,227,183,145,77,11,20,28,14,14,0,0,28,16,29,33,59,36,304,376,44.71
2023-2024,Matthew Knies,TOR,L,80,1001.166667,15,18,11,7,33,61.11,104,14.42,11.82,170,146,108,72,10,16,43,20,19,1,0,16,28,38,149,123,28,0,1,0
2023-2024,Juraj Slafkovsky,MTL,L,82,1175.583333,13,20,10,10,33,62.26,110,11.82,14.42,217,163,148,80,5,15,40,20,20,0,0,8,38,30,139,123,68,10,10,50
2023-2024,Anze Kopitar,L.A,C,81,1100.05,13,19,11,8,32,62.75,91,14.29,10.62,165,126,93,49,3,12,22,7,6,0,1,11,29,40,32,62,53,570,448,55.99
2023-2024,Steven Stamkos,T.B,C,79,1055.766667,14,18,10,8,32,65.31,128,10.94,12.76,249,180,143,58,4,18,32,16,16,0,0,13,41,20,66,55,41,268,209,56.18
2023-2024,Tyler Toffoli,"N.J, WPG","C, R",79,1027.7,17,15,10,5,32,58.18,154,11.04,14.9,305,233,151,54,13,29,12,6,6,0,0,10,26,27,57,49,11,23,35,39.66
2023-2024,Jeff Skinner,BUF,L,74,949.0833333,15,17,11,6,32,68.09,149,10.07,14.15,311,213,169,54,7,32,34,13,12,0,1,16,27,31,20,40,13,43,60,41.75
2023-2024,Sean Monahan,"MTL, WPG",C,83,1043.166667,14,18,11,7,32,60.38,110,12.73,12.05,193,151,117,65,6,12,6,3,3,0,0,7,29,32,20,61,39,482,365,56.91
2023-2024,Kyle Connor,WPG,L,65,999.6166667,22,10,4,6,32,74.42,158,13.92,14.63,275,212,169,65,8,20,2,1,1,0,0,9,23,34,13,33,18,2,3,40
2023-2024,Filip Hronek,VAN,D,81,1506.85,2,30,11,19,32,37.65,108,1.85,4.31,289,169,74,6,2,22,34,17,17,0,0,10,44,19,86,89,72,0,0,-
2023-2024,Martin Necas,CAR,C,77,1083.783333,13,19,10,9,32,69.57,176,7.39,15.5,341,253,146,60,4,32,40,20,20,0,0,21,44,19,64,89,26,41,83,33.06
2023-2024,Thomas Harley,DAL,D,79,1419.966667,10,22,8,14,32,42.11,117,8.55,6,305,178,107,12,5,24,12,6,6,0,0,8,55,35,55,147,115,0,0,-
2023-2024,Jamie Benn,DAL,L,82,905.2,13,18,11,7,31,77.5,116,11.21,12.58,215,157,108,58,6,21,29,12,11,1,0,20,28,39,91,55,38,295,178,62.37
2023-2024,Adam Henrique,"ANA, EDM",C,82,996.8666667,15,16,9,7,31,67.39,99,15.15,12.19,196,153,102,63,7,22,28,10,9,0,1,9,16,21,82,57,48,383,308,55.43
2023-2024,Pavel Buchnevich,STL,L,80,1095.566667,10,21,10,11,31,62,131,7.63,13.07,243,191,132,54,11,21,38,15,14,0,1,12,31,27,32,50,19,73,120,37.82
2023-2024,Dylan Larkin,DET,C,68,954.6666667,14,17,14,3,31,56.36,134,10.45,12.33,270,197,127,44,4,18,23,10,9,1,0,22,30,37,32,40,28,491,400,55.11
2023-2024,Travis Sanheim,PHI,D,81,1481.75,9,22,11,11,31,54.39,101,8.91,5.93,234,152,89,24,2,14,34,17,17,0,0,16,36,21,67,151,102,0,0,-
2023-2024,Nick Schmaltz,ARI,C,79,1142.383333,7,24,14,10,31,68.89,108,6.48,9.37,243,168,117,39,10,28,10,5,5,0,0,12,45,60,12,55,31,107,174,38.08
2023-2024,Danton Heinen,BOS,L,74,930.75,14,17,10,7,31,65.96,107,13.08,12.8,195,152,114,59,10,17,28,14,14,0,0,3,19,25,75,92,36,10,14,41.67
2023-2024,Mathieu Joseph,OTT,R,72,981.9166667,8,23,15,8,31,73.81,104,7.69,11.64,203,158,113,50,8,20,33,15,14,1,0,25,32,55,87,87,38,17,40,29.82
2023-2024,Adam Fox,NYR,D,72,1232.916667,9,22,13,9,31,55.36,87,10.34,5.49,198,129,70,17,4,11,28,14,14,0,0,15,24,37,33,71,93,0,0,-
2023-2024,Andrei Svechnikov,CAR,R,59,798.5,11,20,11,9,31,83.78,104,10.58,11.49,217,156,103,41,6,21,52,25,25,0,0,13,36,21,127,77,20,3,3,50
2023-2024,Yegor Sharangovich,CGY,C,82,1038.25,20,11,6,5,31,75.61,118,16.95,12.43,232,177,126,49,8,15,4,2,2,0,0,10,29,23,8,71,39,108,168,39.13
2023-2024,Erik Karlsson,PIT,D,82,1580.316667,6,24,11,13,30,40,157,3.82,5.99,400,226,105,14,11,39,30,15,15,0,0,14,58,42,35,100,89,0,0,-
2023-2024,Evander Kane,EDM,L,77,1108.133333,15,15,9,6,30,68.18,185,8.11,21.33,352,262,197,106,20,35,69,25,21,3,1,16,35,24,230,119,26,29,31,48.33
2023-2024,Chris Kreider,NYR,L,82,1032.916667,15,15,7,8,30,58.82,138,10.87,16.12,268,217,153,91,12,20,22,11,11,0,0,8,21,13,73,32,16,32,49,39.51
2023-2024,Reilly Smith,PIT,R,76,991.4,12,18,12,6,30,71.43,122,9.84,13.12,215,171,123,68,7,13,14,7,7,0,0,7,30,31,44,45,26,5,13,27.78
2023-2024,Dylan DeMelo,WPG,D,82,1516.283333,3,27,11,16,30,37.04,75,4,2.52,183,118,35,2,3,14,32,16,16,0,0,8,53,13,149,138,99,0,0,-
2023-2024,Ryan Nugent-Hopkins,EDM,C,80,1082,11,19,14,5,30,50.85,126,8.73,15.85,256,184,158,77,5,23,34,17,17,0,0,5,29,43,51,51,25,202,186,52.06
2023-2024,Morgan Rielly,TOR,D,72,1369.4,4,26,16,10,30,38.96,137,2.92,5.39,279,186,78,20,12,20,8,4,4,0,0,4,53,24,73,123,108,0,0,-
2023-2024,MacKenzie Weegar,CGY,D,82,1454.45,15,15,7,8,30,46.15,162,9.26,6.69,380,224,98,16,9,27,39,18,17,1,0,7,56,37,153,95,144,0,0,-
2023-2024,Anthony Duclair,"S.J, T.B",L,73,973.65,19,11,7,4,30,65.22,96,19.79,11.83,182,137,109,60,6,15,20,10,10,0,0,11,15,32,41,43,34,17,25,40.48
2023-2024,Oliver Bjorkstrand,SEA,R,82,1066.316667,11,19,11,8,30,73.17,132,8.33,11.96,292,204,134,50,8,26,8,4,4,0,0,14,22,57,55,80,25,7,17,29.17
2023-2024,J.T. Compher,DET,L,77,1030.25,10,20,14,6,30,65.22,66,15.15,8.46,128,92,85,41,4,14,20,10,10,0,0,13,22,12,38,67,43,342,408,45.6
2023-2024,Gustav Forsling,FLA,D,79,1349.233333,7,23,15,8,30,43.48,138,5.07,5.69,352,194,94,16,5,43,41,15,13,1,1,9,34,30,87,90,67,0,0,-
2023-2024,Frank Vatrano,ANA,R,82,1048.183333,17,13,7,6,30,63.83,173,9.83,14.94,279,224,142,69,13,28,72,36,36,0,0,25,22,21,127,76,61,3,9,25
2023-2024,Timo Meier,N.J,R,69,990.4833333,15,15,9,6,30,69.77,160,9.38,15.94,337,252,160,67,13,35,45,17,15,1,1,14,25,31,99,75,40,23,29,44.23
