Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2023-2024,Nathan MacKinnon,COL,C,82,1386.383333,36,43,25,18,79,79,255,14.12,20.75,444,332,233,92,27,32,40,16,15,0,1,25,65,38,45,67,60,517,622,45.39
2023-2024,Connor McDavid,EDM,C,76,1233.266667,19,53,32,21,72,80,176,10.8,19.19,308,244,189,80,9,36,18,9,9,0,0,35,68,57,100,100,36,407,379,51.78
2023-2024,Nikita Kucherov,T.B,R,81,1307.583333,21,46,29,17,67,82.72,202,10.4,15.92,425,301,194,68,5,27,12,6,6,0,0,18,74,54,37,61,33,0,0,-
2023-2024,Auston Matthews,TOR,C,81,1241.183333,38,23,17,6,61,75.31,247,15.38,27.08,469,357,302,137,13,39,10,5,5,0,0,11,41,67,80,72,79,585,522,52.85
2023-2024,Artemi Panarin,NYR,L,82,1259.583333,32,28,14,14,60,83.33,195,16.41,15.62,391,274,196,56,11,30,20,10,10,0,0,21,57,30,14,34,8,0,4,0
2023-2024,David Pastrnak,BOS,R,82,1204.333333,27,31,23,8,58,80.56,239,11.3,21.57,448,340,218,73,17,41,39,14,12,1,1,25,73,46,55,103,18,7,11,38.89
2023-2024,Sidney Crosby,PIT,C,82,1236.916667,23,34,24,10,57,74.03,191,12.04,20.94,326,266,196,93,14,35,32,16,16,0,0,27,41,62,80,39,31,798,580,57.91
2023-2024,Leon Draisaitl,EDM,C,81,1256.716667,15,40,23,17,55,72.37,115,13.04,13.04,235,175,140,52,7,23,52,22,21,0,1,18,76,70,53,114,23,548,407,57.38
2023-2024,Mikko Rantanen,COL,R,80,1368.15,24,30,16,14,54,62.07,176,13.64,16.74,339,263,207,83,7,30,46,22,22,0,0,20,28,40,39,113,45,167,158,51.38
2023-2024,Zach Hyman,EDM,L,80,1233.333333,36,16,6,10,52,57.78,212,16.98,31.18,372,297,274,169,11,40,32,16,16,0,0,19,15,31,67,132,34,4,8,33.33
2023-2024,Brayden Point,T.B,C,81,1222.116667,28,23,12,11,51,72.86,146,19.18,19.4,274,211,191,98,7,21,8,4,4,0,0,16,29,32,14,52,38,253,304,45.42
2023-2024,Jesper Bratt,N.J,L,82,1124.583333,16,34,25,9,50,71.43,177,9.04,19.38,314,250,193,93,20,30,6,3,3,0,0,16,34,30,41,55,27,6,7,46.15
2023-2024,J.T. Miller,VAN,C,81,1085.216667,20,28,17,11,48,75,106,18.87,13.78,205,169,135,58,9,14,47,22,21,1,0,15,44,23,187,70,48,565,440,56.22
2023-2024,Brandon Hagel,T.B,L,82,1217.183333,16,32,23,9,48,73.85,146,10.96,17.1,279,207,182,71,9,21,77,29,26,1,2,30,35,40,44,132,34,20,34,37.04
2023-2024,Filip Forsberg,NSH,L,82,1154.75,27,20,12,8,47,73.44,229,11.79,22.53,452,334,204,94,16,45,35,16,15,1,0,28,62,70,119,69,38,10,9,52.63
2023-2024,Nikolaj Ehlers,WPG,L,82,1073.733333,20,27,17,10,47,75.81,193,10.36,14.04,394,276,149,49,8,23,29,12,11,1,0,21,41,35,27,68,34,4,8,33.33
