Year,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2023-2024,Evan Bouchard,EDM,D,81,1456.916667,1744,1161,60.03,1294,851,60.33,920,608,60.21,94,58,61.84,90.36,56.15,61.67,901,580,60.84,399,229,63.54,64,35,64.65,502,351,58.85,18,18,50,1019,637,61.53,12,5,70.59,10.22,90.46,1.007,232,252,163,866,58.73,568,395,375,60.23
2023-2024,Connor McDavid,EDM,C,76,1233.266667,1532,1045,59.45,1137,773,59.53,815,563,59.14,90,57,61.22,81.12,49.96,61.88,827,529,60.99,365,199,64.72,60,28,68.18,462,330,58.33,20,22,47.62,876,571,60.54,10,7,58.82,11.04,89.88,1.009,270,222,121,698,69.05,507,336,306,62.36
2023-2024,Teuvo Teravainen,CAR,L,76,910.8,1068,729,59.43,784,550,58.77,499,395,55.82,38,29,56.72,44.23,33.97,56.56,442,342,56.38,164,145,53.07,19,16,54.29,278,197,58.53,14,9,60.87,698,429,61.93,5,4,55.56,7.62,92.66,1.003,188,191,115,690,62.05,339,292,256,56.97
2023-2024,Jesperi Kotkaniemi,CAR,C,79,907.25,1107,764,59.17,796,562,58.62,525,401,56.7,37,36,50.68,47.75,37.59,55.95,473,365,56.44,182,169,51.85,18,17,51.43,291,196,59.75,8,15,34.78,676,410,62.25,11,4,73.33,7.05,91.02,0.981,165,185,89,709,64.96,328,287,215,60.41
2023-2024,Zach Hyman,EDM,L,80,1233.333333,1550,1070,59.16,1146,772,59.75,812,562,59.1,90,50,64.29,83.38,49.9,62.56,828,549,60.13,377,195,65.91,58,27,68.24,451,354,56.02,23,19,54.76,876,572,60.5,9,4,69.23,11.08,91.1,1.022,279,237,135,744,67.39,504,325,321,61.09
2023-2024,Andrei Svechnikov,CAR,R,59,798.5,995,687,59.16,725,536,57.49,462,384,54.61,37,26,58.73,43.16,33.39,56.38,429,323,57.05,159,143,52.65,19,14,57.58,270,180,60,12,10,54.55,616,399,60.69,6,2,75,8.01,93.23,1.012,156,139,109,606,58.87,297,213,234,55.93
2023-2024,Seth Jarvis,CAR,C,81,1052.983333,1223,865,58.57,870,621,58.35,563,418,57.39,58,35,62.37,49.01,35.91,57.71,544,388,58.37,223,143,60.93,30,15,66.67,321,245,56.71,20,16,55.56,766,529,59.15,8,4,66.67,10.3,91.63,1.019,222,243,141,730,61.16,389,341,321,54.79
2023-2024,Aleksander Barkov,FLA,C,73,928.35,1099,782,58.43,769,561,57.82,534,376,58.68,53,23,69.74,48.14,30.69,61.07,505,354,58.79,198,127,60.92,27,11,71.05,307,227,57.49,12,8,60,681,484,58.45,14,4,77.78,9.93,93.88,1.038,192,240,175,671,52.32,332,326,310,51.71
2023-2024,Aaron Ekblad,FLA,D,51,783.6166667,958,683,58.38,647,515,55.68,432,352,55.1,34,16,68,40.86,28.82,58.64,430,294,59.39,179,126,58.69,18,9,66.67,251,168,59.9,7,6,53.85,566,429,56.88,8,1,88.89,7.87,95.45,1.033,97,161,116,609,45.54,247,240,252,49.5
2023-2024,Brett Pesce,CAR,D,70,1193.85,1406,1003,58.36,989,741,57.17,630,515,55.02,46,50,47.92,56.68,46.81,54.77,621,460,57.45,247,196,55.76,27,22,55.1,374,264,58.62,11,23,32.35,873,585,59.88,8,5,61.54,7.3,90.29,0.976,163,226,147,856,52.58,439,399,355,55.29
2023-2024,Gustav Forsling,FLA,D,79,1349.233333,1637,1170,58.32,1110,877,55.86,771,608,55.91,69,34,66.99,68.3,51.66,56.93,740,523,58.59,314,220,58.8,34,16,68,426,303,58.44,19,14,57.58,948,708,57.25,16,4,80,8.95,94.41,1.034,165,285,168,1015,49.55,411,424,408,50.18
2023-2024,Evan Rodrigues,FLA,C,80,1007,1180,845,58.27,822,620,57,562,422,57.11,46,23,66.67,48.79,36.37,57.29,494,377,56.72,206,155,57.06,26,13,66.67,288,222,56.47,9,5,64.29,753,500,60.1,11,5,68.75,8.19,94.55,1.027,207,231,166,727,55.5,345,316,295,53.91
2023-2024,Brady Skjei,CAR,D,80,1361.133333,1579,1134,58.2,1121,851,56.85,721,605,54.37,50,46,52.08,63.59,54.09,54.04,656,531,55.27,269,237,53.16,27,24,52.94,387,294,56.83,14,18,43.75,1025,669,60.51,9,4,69.23,6.93,92.4,0.993,183,253,161,995,53.2,493,453,419,54.06
2023-2024,Martin Necas,CAR,C,77,1083.783333,1332,961,58.09,959,727,56.88,626,534,53.97,46,52,46.94,55.66,48.95,53.21,564,459,55.13,207,214,49.17,27,26,50.94,357,245,59.3,11,20,35.48,795,514,60.73,8,6,57.14,7.35,90.26,0.976,164,184,75,847,68.62,350,299,228,60.55
2023-2024,Arthur Kaliyev,L.A,R,51,523.1333333,607,444,57.75,471,311,60.23,318,222,58.89,21,21,50,29.04,19.6,59.7,279,213,56.71,118,92,56.19,13,12,52,161,121,57.09,5,4,55.56,361,249,59.18,3,5,37.5,6.6,90.54,0.971,86,101,62,423,58.11,161,150,127,55.9
2023-2024,Sam Bennett,FLA,C,69,899.4166667,1132,832,57.64,781,640,54.96,536,461,53.76,45,28,61.64,49.04,36.81,57.12,537,375,58.88,225,177,55.97,14,16,46.67,312,198,61.18,22,10,68.75,647,488,57,9,2,81.82,8.4,93.93,1.023,187,210,94,690,66.55,324,287,221,59.45
2023-2024,Sam Reinhart,FLA,C,82,1060.966667,1222,899,57.61,850,640,57.05,576,434,57.03,58,33,63.74,51.35,35.46,59.15,541,385,58.42,203,142,58.84,29,17,63.04,338,243,58.18,15,9,62.5,771,579,57.11,14,7,66.67,10.07,92.4,1.025,221,260,194,745,53.25,384,351,360,51.61
2023-2024,Matthew Tkachuk,FLA,L,80,1035.85,1313,969,57.54,895,758,54.14,617,549,52.92,56,40,58.33,57.44,44.41,56.4,643,445,59.1,274,204,57.32,23,22,51.11,369,241,60.49,24,16,60,741,560,56.96,9,2,81.82,9.08,92.71,1.018,217,250,117,794,64.97,386,344,244,61.27
2023-2024,Sebastian Aho,CAR,C,78,1074.783333,1237,915,57.48,911,694,56.76,581,490,54.25,58,31,65.17,53,44.24,54.5,533,436,55.01,206,175,54.07,29,18,61.7,327,261,55.61,24,13,64.86,805,519,60.8,5,0,100,9.98,93.67,1.037,227,173,102,826,69,414,268,275,60.09
2023-2024,Carter Verhaeghe,FLA,C,76,1034.75,1274,944,57.44,866,734,54.13,613,512,54.49,57,39,59.38,55.28,41,57.42,612,405,60.18,243,179,57.58,26,20,56.52,369,226,62.02,22,16,57.89,729,583,55.56,9,3,75,9.3,92.38,1.017,211,251,129,763,62.06,367,338,269,57.7
2023-2024,Ryan Nugent-Hopkins,EDM,C,80,1082,1264,943,57.27,923,677,57.69,657,465,58.56,59,45,56.73,67.75,43.42,60.94,668,480,58.19,313,183,63.1,36,26,58.06,355,297,54.45,18,15,54.55,727,509,58.82,5,4,55.56,8.98,90.32,0.993,237,205,149,688,61.4,435,294,310,58.39
2023-2024,Quinn Hughes,VAN,D,82,1540.616667,1675,1256,57.15,1160,956,54.82,763,671,53.21,92,55,62.59,75.51,62.32,54.78,803,589,57.69,345,294,53.99,56,34,62.22,458,295,60.82,22,15,59.46,1052,690,60.39,14,6,70,12.06,91.8,1.039,235,258,146,1063,61.68,542,406,336,61.73
2023-2024,Miro Heiskanen,DAL,D,71,1360.566667,1543,1161,57.06,1103,848,56.54,728,571,56.04,68,59,53.54,67.03,46.78,58.9,716,490,59.37,297,201,59.64,37,31,54.41,419,289,59.18,22,19,53.66,998,745,57.26,9,9,50,9.34,89.67,0.99,243,264,179,855,57.58,584,411,407,58.93
2023-2024,Jake Guentzel,"CAR, PIT","C, L",67,1017,1298,978,57.03,941,742,55.91,650,515,55.79,60,44,57.69,61.36,44.51,57.96,644,469,57.86,260,190,57.78,30,25,54.55,384,279,57.92,17,15,53.13,806,536,60.06,13,3,81.25,9.23,91.46,1.007,214,269,91,722,70.16,449,371,248,64.42
2023-2024,Sean Couturier,PHI,C,74,982.5333333,1153,876,56.83,799,573,58.24,555,415,57.22,46,52,46.94,45.75,37.19,55.16,499,404,55.26,217,156,58.18,25,31,44.64,282,248,53.21,13,14,48.15,720,531,57.55,8,7,53.33,8.29,87.47,0.958,157,227,175,723,47.29,344,330,321,51.73
2023-2024,Jesper Bratt,N.J,L,82,1124.583333,1326,1009,56.79,939,767,55.04,650,549,54.21,70,54,56.45,64.1,49.24,56.56,664,468,58.66,267,210,55.97,34,31,52.31,397,258,60.61,28,16,63.64,755,587,56.26,8,7,53.33,10.77,90.16,1.009,237,310,177,906,57.25,397,418,329,54.68
2023-2024,Anton Lundell,FLA,C,78,956.5,1086,827,56.77,737,626,54.07,506,405,55.54,34,25,57.63,43.67,38.48,53.16,448,359,55.51,186,161,53.6,20,16,55.56,262,198,56.96,10,3,76.92,673,473,58.73,4,6,40,6.72,93.83,1.005,176,220,118,743,59.86,327,312,232,58.5
2023-2024,Eetu Luostarinen,FLA,C,82,988.4833333,1091,832,56.73,748,626,54.44,510,404,55.8,31,35,46.97,43.44,36.34,54.45,444,350,55.92,184,151,54.93,19,21,47.5,260,199,56.64,7,7,50,690,489,58.52,4,7,36.36,6.08,91.34,0.974,193,246,138,760,58.31,329,324,248,57.02
2023-2024,Ryan McLeod,EDM,C,81,972.3333333,1049,800,56.73,766,585,56.7,541,388,58.23,39,30,56.52,49.5,37.86,56.66,514,374,57.88,208,163,56.06,22,18,55,306,211,59.19,11,9,55,554,466,54.31,6,3,66.67,7.21,92.27,0.995,119,241,142,700,45.59,250,342,262,48.83
2023-2024,Artemi Panarin,NYR,L,82,1259.583333,1495,1145,56.63,1095,853,56.21,747,609,55.09,72,57,55.81,67.34,53.95,55.52,739,566,56.63,296,229,56.38,29,38,43.28,443,337,56.79,25,16,60.98,883,525,62.71,18,3,85.71,9.64,90.64,1.003,261,218,40,1028,86.71,465,314,115,80.17
2023-2024,Nathan MacKinnon,COL,C,82,1386.383333,1704,1309,56.55,1226,954,56.24,858,666,56.3,100,65,60.61,73.45,56.23,56.64,868,593,59.41,341,240,58.69,50,34,59.52,527,353,59.89,38,21,64.41,1053,776,57.57,12,10,54.55,11.66,90.24,1.019,365,302,134,834,73.15,697,461,357,66.13
2023-2024,Roope Hintz,DAL,C,80,997.4666667,1151,888,56.45,808,623,56.46,545,405,57.37,59,40,59.6,49.47,33.99,59.28,547,362,60.18,218,135,61.76,27,20,57.45,329,227,59.17,24,17,58.54,712,591,54.64,8,3,72.73,10.83,90.12,1.009,210,231,184,739,53.3,405,341,361,52.87
2023-2024,Artturi Lehkonen,COL,L,45,587.9833333,666,515,56.39,474,376,55.76,340,259,56.76,39,28,58.21,27.79,21.09,56.86,333,225,59.68,141,91,60.78,19,13,59.38,192,134,58.9,16,8,66.67,395,317,55.48,4,7,36.36,11.47,89.19,1.007,126,129,71,432,63.96,236,201,164,59
2023-2024,Warren Foegele,EDM,L,82,1013.416667,1151,893,56.31,854,668,56.11,597,454,56.8,47,45,51.09,59.58,43.07,58.04,583,429,57.61,279,195,58.86,28,27,50.91,304,234,56.51,14,14,50,623,499,55.53,5,4,55.56,7.87,90.09,0.98,177,269,143,685,55.31,318,360,302,51.29
2023-2024,Jason Robertson,DAL,L,82,1186.566667,1321,1028,56.24,925,718,56.3,633,470,57.39,66,48,57.89,53.74,37.8,58.71,623,429,59.22,242,159,60.35,29,27,51.79,381,270,58.53,29,17,63.04,789,666,54.23,8,4,66.67,10.43,89.79,1.002,201,246,172,835,53.89,418,358,377,52.58
2023-2024,Kevin Fiala,L.A,L,82,1144.966667,1245,970,56.21,929,671,58.06,647,467,58.08,52,42,55.32,56.42,39.23,58.99,576,437,56.86,212,157,57.45,28,19,59.57,364,280,56.52,16,15,51.61,720,580,55.38,8,8,50,8.04,91.01,0.99,166,221,146,851,53.21,319,340,311,50.63
2023-2024,Tommy Novak,NSH,C,71,817.9333333,947,738,56.2,677,522,56.46,477,375,55.99,40,33,54.79,42.71,31.14,57.83,485,346,58.36,193,121,61.46,21,11,65.63,292,225,56.48,12,16,42.86,518,395,56.74,6,6,50,8.39,91.2,0.996,135,139,36,711,78.95,296,234,116,71.84
2023-2024,Oliver Ekman-Larsson,FLA,D,80,1130.883333,1244,972,56.14,858,730,54.03,602,480,55.64,49,40,55.06,52.67,44.27,54.33,548,443,55.3,223,209,51.62,22,22,50,325,234,58.14,14,14,50,772,572,57.44,13,4,76.47,8.14,91.67,0.998,194,265,122,952,61.39,403,400,296,57.65
2023-2024,Trevor Moore,L.A,L,82,1116.366667,1268,996,56.01,963,682,58.54,675,476,58.64,59,46,56.19,57.55,41.48,58.11,543,453,54.52,223,176,55.89,33,23,58.93,320,277,53.6,13,17,43.33,756,586,56.33,13,6,68.42,8.74,90.34,0.991,155,265,151,772,50.65,306,380,307,49.92
2023-2024,Brady Tkachuk,OTT,L,81,1182.433333,1449,1140,55.97,1071,810,56.94,762,584,56.61,64,59,52.03,66.21,53.62,55.25,680,560,54.84,287,225,56.05,40,32,55.56,393,335,53.98,19,19,50,820,634,56.4,5,8,38.46,8.4,89.9,0.983,190,335,177,962,51.77,400,466,352,53.19
2023-2024,Craig Smith,DAL,C,75,749.0333333,800,631,55.9,576,438,56.8,388,300,56.4,28,27,50.91,33.23,24.34,57.73,343,270,55.95,141,117,54.65,12,16,42.86,202,153,56.9,11,7,61.11,452,382,54.2,5,4,55.56,7.22,91,0.982,55,173,92,716,37.41,140,253,216,39.33
2023-2024,Phillip Danault,L.A,C,78,1058.233333,1198,947,55.85,919,657,58.31,640,456,58.39,51,38,57.3,54.9,41.66,56.86,524,428,55.04,213,171,55.47,28,18,60.87,311,257,54.75,12,15,44.44,710,565,55.69,11,5,68.75,7.97,91.67,0.996,141,255,148,725,48.79,289,359,294,49.57
2023-2024,Michael Bunting,"CAR, PIT",L,81,1013.516667,1172,930,55.76,835,701,54.36,558,492,53.14,45,54,45.45,47.56,46.13,50.76,499,460,52.03,187,195,48.95,26,29,47.27,312,265,54.07,11,21,34.38,728,479,60.31,8,4,66.67,8.06,89.02,0.971,199,194,74,832,72.89,379,297,202,65.23
2023-2024,Jack Hughes,N.J,C,62,976.5666667,1118,888,55.73,799,677,54.13,556,485,53.41,43,47,47.78,49.26,42.37,53.76,521,420,55.37,181,172,51.27,21,25,45.65,340,248,57.82,16,17,48.48,684,485,58.51,6,5,54.55,7.73,90.31,0.98,190,167,77,755,71.16,361,253,185,66.12
2023-2024,Conor Garland,VAN,R,82,1003.666667,1037,824,55.72,757,587,56.32,508,415,55.04,55,30,64.71,50.09,33.91,59.63,505,364,58.11,237,144,62.2,34,14,70.83,268,220,54.92,17,9,65.38,601,504,54.39,4,7,36.36,10.83,92.77,1.036,143,240,170,900,45.69,277,322,319,46.48
2023-2024,Tyler Toffoli,"N.J, WPG","C, R",79,1027.7,1202,957,55.67,862,737,53.91,584,519,52.95,55,52,51.4,52.11,46.08,53.07,541,461,53.99,201,192,51.15,30,27,52.63,340,269,55.83,19,20,48.72,730,498,59.45,6,5,54.55,9.42,89.98,0.994,208,220,92,922,69.33,371,326,209,63.97
2023-2024,Leon Draisaitl,EDM,C,81,1256.716667,1401,1118,55.62,1053,846,55.45,733,613,54.46,76,49,60.8,74.67,53.81,58.12,733,559,56.73,324,215,60.11,46,29,61.33,409,344,54.32,18,17,51.43,839,633,57,12,3,80,10.37,92.01,1.024,271,278,164,673,62.3,486,375,386,55.73
2023-2024,Thomas Harley,DAL,D,79,1419.966667,1607,1283,55.61,1121,905,55.33,756,600,55.75,76,51,59.84,68.76,53.02,56.46,738,563,56.73,287,230,55.51,38,27,58.46,451,333,57.53,26,16,61.9,1007,759,57.02,12,8,60,10.05,91.5,1.016,215,280,185,952,53.75,544,431,413,56.84
2023-2024,Travis Konecny,PHI,R,76,1079.416667,1316,1051,55.6,926,715,56.43,657,491,57.23,57,53,51.82,51.19,45.46,52.96,581,498,53.85,229,196,53.88,23,29,44.23,352,302,53.82,21,18,53.85,829,592,58.34,13,6,68.42,8.68,89.21,0.979,216,260,136,762,61.36,446,368,279,61.52
2023-2024,Jordan Spence,L.A,D,71,877.1166667,943,754,55.57,685,557,55.15,474,389,54.92,43,37,53.75,39.37,32.97,54.42,453,367,55.24,174,159,52.25,22,19,53.66,279,208,57.29,12,11,52.17,549,408,57.37,9,7,56.25,9.07,90.49,0.996,143,120,96,664,59.83,297,211,206,59.05
2023-2024,Valeri Nichushkin,COL,R,54,796,929,744,55.53,655,562,53.82,439,399,52.39,42,38,52.5,39,34.67,52.93,459,353,56.53,177,162,52.21,18,23,43.9,282,191,59.62,15,11,57.69,560,435,56.28,9,4,69.23,9.57,90.48,1,165,158,99,540,62.5,326,261,236,58.01
2023-2024,Samuel Girard,COL,D,59,950.6833333,1132,907,55.52,783,639,55.06,558,456,55.03,47,51,47.96,47.28,41.31,53.37,535,404,56.98,218,178,55.05,23,24,48.94,317,226,58.38,17,16,51.52,635,553,53.45,7,11,38.89,8.42,88.82,0.972,108,202,158,707,40.6,273,332,315,46.43
2023-2024,Alexis Lafrenière,NYR,L,82,1234.3,1451,1163,55.51,1046,876,54.42,715,632,53.08,69,62,52.67,62.73,56.15,52.76,722,563,56.19,277,230,54.64,30,42,41.67,445,333,57.2,23,18,56.1,822,560,59.48,16,2,88.89,9.65,90.19,0.998,236,215,63,961,78.93,425,297,159,72.77
2023-2024,Carl Grundstrom,L.A,R,50,521.4666667,599,483,55.36,421,331,55.98,295,216,57.73,16,21,43.24,26.08,21.12,55.25,271,219,55.31,98,86,53.26,5,9,35.71,173,133,56.54,6,8,42.86,322,282,53.31,5,4,55.56,5.42,90.28,0.957,94,115,64,417,59.49,162,163,132,55.1
2023-2024,Josh Manson,COL,D,76,1173.383333,1300,1050,55.32,896,761,54.07,639,530,54.66,55,48,53.4,53.52,46.65,53.43,604,474,56.03,259,195,57.05,32,27,54.24,345,279,55.29,14,13,51.85,706,678,51.01,9,8,52.94,8.61,90.94,0.996,108,282,202,926,34.84,291,412,397,42.3
2023-2024,Sidney Crosby,PIT,C,82,1236.916667,1556,1259,55.28,1129,963,53.97,786,668,54.06,77,74,50.99,76.05,61.88,55.14,781,623,55.63,327,255,56.19,38,41,48.1,454,368,55.23,19,23,45.24,972,682,58.77,20,9,68.97,9.8,88.92,0.987,288,378,126,861,69.57,568,516,329,63.32
2023-2024,Brandon Montour,FLA,D,66,1158.766667,1297,1051,55.24,902,799,53.03,633,540,53.96,45,41,52.33,53.58,46.08,53.76,564,463,54.92,230,201,53.36,17,21,44.74,334,262,56.04,21,14,60,767,618,55.38,7,6,53.85,7.11,92.41,0.995,166,238,145,836,53.38,370,361,316,53.94
2023-2024,Radek Faksa,DAL,C,74,751.6166667,751,613,55.06,524,437,54.53,347,298,53.8,29,34,46.03,28.54,25.02,53.29,315,275,53.39,130,114,53.28,12,18,40,185,161,53.47,11,10,52.38,416,365,53.27,6,6,50,8.36,88.59,0.969,60,179,101,675,37.27,134,255,221,37.75
2023-2024,Noah Cates,PHI,L,59,655.9333333,712,582,55.02,515,356,59.13,356,243,59.43,24,33,42.11,33.24,21.45,60.77,326,260,55.63,161,96,62.65,12,10,54.55,165,164,50.15,10,17,37.04,384,360,51.61,2,6,25,6.74,86.42,0.932,101,173,118,533,46.12,197,229,215,47.82
2023-2024,Nick Cousins,FLA,C,69,812.25,898,737,54.92,602,540,52.71,431,361,54.42,23,22,51.11,35.34,36.97,48.88,392,367,51.65,157,174,47.43,8,15,34.78,235,193,54.91,10,4,71.43,527,382,57.98,5,3,62.5,5.34,93.91,0.992,161,178,109,644,59.63,261,224,216,54.72
2023-2024,Ondrej Palat,N.J,L,71,929.85,1040,854,54.91,735,625,54.04,495,430,53.51,40,36,52.63,49.47,37.82,56.68,484,381,55.95,202,162,55.49,24,22,52.17,282,219,56.29,13,9,59.09,594,501,54.25,3,5,37.5,8.08,91.63,0.997,169,264,155,760,52.16,269,320,279,49.09
2023-2024,Jonathan Drouin,COL,L,79,1093.35,1238,1019,54.85,898,742,54.76,631,511,55.25,67,46,59.29,52.44,43,54.94,607,442,57.86,239,180,57.04,35,25,58.33,368,262,58.41,24,13,64.86,742,608,54.96,8,8,50,10.62,91,1.016,236,243,116,778,67.05,421,353,281,59.97
2023-2024,Wyatt Johnston,DAL,C,82,1072.716667,1212,999,54.82,843,698,54.7,590,475,55.4,52,43,54.74,55.73,38.9,58.89,585,420,58.21,242,168,59.02,27,25,51.92,343,252,57.65,21,9,70,712,617,53.57,4,9,30.77,8.81,90.95,0.998,179,206,154,811,53.75,369,317,336,52.34
2023-2024,Luke Evangelista,NSH,R,80,917.4,1021,842,54.8,739,589,55.65,517,419,55.24,40,36,52.63,44.5,34.18,56.56,506,396,56.1,195,150,56.52,20,18,52.63,311,246,55.83,14,14,50,571,456,55.6,6,4,60,7.74,91.41,0.991,160,159,66,732,70.8,313,249,165,65.48
2023-2024,Erik Karlsson,PIT,D,82,1580.316667,1852,1535,54.68,1318,1150,53.4,932,766,54.89,75,69,52.08,83.09,69.98,54.29,894,732,54.98,387,287,57.42,36,41,46.75,507,445,53.26,20,16,55.56,1079,905,54.39,19,11,63.33,8.05,90.99,0.99,224,298,197,1107,53.21,564,502,480,54.02
2023-2024,Nikolaj Ehlers,WPG,L,82,1073.733333,1198,993,54.68,876,730,54.55,611,502,54.9,62,33,65.26,53.3,44.19,54.67,535,441,54.82,224,190,54.11,31,19,62,311,251,55.34,24,10,70.59,735,583,55.77,7,4,63.64,10.15,93.43,1.036,234,204,120,774,66.1,418,301,284,59.54
2023-2024,Drew Doughty,L.A,D,82,1554.583333,1621,1344,54.67,1169,932,55.64,796,631,55.78,60,44,57.69,69.94,57.25,54.99,707,619,53.32,283,245,53.6,28,25,52.83,424,374,53.13,19,12,61.29,957,813,54.07,13,7,65,7.54,93.03,1.006,156,321,228,893,40.63,452,516,463,49.4
2023-2024,Quinton Byfield,L.A,"C, R",80,1072.916667,1132,942,54.58,797,672,54.25,533,461,53.62,47,28,62.67,46.91,37.5,55.58,499,417,54.48,207,157,56.87,34,16,68,292,260,52.9,7,7,50,719,602,54.43,6,5,54.55,8.82,93.93,1.027,192,235,166,787,53.63,382,332,364,51.21
2023-2024,Martin Pospisil,CGY,C,63,759.1333333,861,717,54.56,606,513,54.16,415,361,53.48,37,24,60.66,36.85,31.76,53.71,397,346,53.43,158,150,51.3,20,7,74.07,239,196,54.94,7,10,41.18,527,400,56.85,10,6,62.5,8.92,93.35,1.023,149,190,83,671,64.22,299,274,181,62.29
2023-2024,Mark Giordano,TOR,D,46,629.5833333,720,600,54.55,498,423,54.07,350,275,56,32,25,56.14,31.14,26.49,54.03,359,258,58.18,150,112,57.25,16,15,51.61,209,146,58.87,11,7,61.11,402,332,54.77,5,3,62.5,9.14,90.91,1.001,78,119,66,627,54.17,197,185,161,55.03
2023-2024,Colin Miller,"N.J, WPG",D,46,648.4166667,720,600,54.55,511,448,53.28,357,316,53.05,32,20,61.54,30.92,28.6,51.94,313,286,52.25,126,129,49.41,14,11,56,187,157,54.36,11,6,64.71,457,311,59.51,7,3,70,8.96,93.67,1.026,106,132,65,603,61.99,243,201,152,61.52
2023-2024,Mikko Rantanen,COL,R,80,1368.15,1607,1339,54.55,1146,971,54.13,808,679,54.34,87,64,57.62,66.73,57.77,53.6,813,589,57.99,309,246,55.68,42,30,58.33,504,343,59.5,34,23,59.65,998,806,55.32,11,11,50,10.77,90.57,1.013,344,281,146,812,70.2,666,418,369,64.35
