Year,Player,Team,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2023-2024,Jesper Fast,CAR,R,73,820.65,1013,578,63.67,685,420,61.99,433,287,60.14,23,25,47.92,41.46,25.96,61.5,439,249,63.81,197,107,64.8,15,14,51.72,242,142,63.02,3,7,30,602,352,63.1,5,4,55.56,5.31,91.29,0.966,144,280,130,550,52.55,273,348,256,51.61
2023-2024,Jordan Staal,CAR,C,80,993.9833333,1258,726,63.41,851,521,62.03,538,372,59.12,33,44,42.86,50.53,29.58,63.07,563,304,64.94,247,127,66.04,23,21,52.27,316,177,64.1,5,16,23.81,739,496,59.84,5,7,41.67,6.13,88.17,0.943,163,349,211,657,43.58,307,446,398,43.55
2023-2024,Jordan Martinook,CAR,L,82,1053.483333,1297,801,61.82,883,573,60.65,552,395,58.29,41,45,47.67,50.93,32.59,60.98,555,337,62.22,238,141,62.8,26,24,52,317,196,61.79,9,15,37.5,788,517,60.38,6,6,50,7.43,88.61,0.96,169,355,202,688,45.55,324,446,392,45.25
2023-2024,Jalen Chatfield,CAR,D,72,1036.1,1150,734,61.04,844,540,60.98,552,389,58.66,50,35,58.82,49.64,33.92,59.41,481,327,59.53,177,145,54.97,26,21,55.32,304,182,62.55,13,10,56.52,729,423,63.28,11,4,73.33,9.06,91,1.001,146,235,92,811,61.34,354,367,238,59.8
2023-2024,Jack Drury,CAR,C,74,790.9,909,585,60.84,640,429,59.87,411,298,57.97,32,27,54.24,35.61,24.74,59.01,349,256,57.69,136,104,56.67,22,9,70.97,213,152,58.36,6,16,27.27,598,341,63.68,4,2,66.67,7.79,90.94,0.987,154,183,76,614,66.96,285,248,178,61.56
2023-2024,Stefan Noesen,CAR,R,81,820.7833333,953,617,60.7,682,444,60.57,438,302,59.19,40,22,64.52,40.42,28.38,58.75,402,275,59.38,162,124,56.64,25,9,73.53,240,151,61.38,10,10,50,608,374,61.91,5,3,62.5,9.13,92.72,1.018,176,202,86,664,67.18,309,280,205,60.12
2023-2024,Jaccob Slavin,CAR,D,81,1381.883333,1762,1148,60.55,1239,851,59.28,781,584,57.22,64,49,56.64,75.08,51.42,59.35,780,512,60.37,312,219,58.76,40,22,64.52,468,293,61.5,18,22,45,1027,679,60.2,6,5,54.55,8.19,91.61,0.998,166,260,150,1038,52.53,468,438,398,54.04
2023-2024,Brent Burns,CAR,D,82,1276.683333,1621,1071,60.22,1117,788,58.64,716,538,57.1,64,44,59.26,65.89,46.63,58.56,705,471,59.95,290,196,59.67,41,19,68.33,415,275,60.14,17,20,45.95,951,658,59.11,6,5,54.55,8.94,91.82,1.008,166,243,152,980,52.2,433,423,395,52.29
2023-2024,Mattias Ekholm,EDM,D,79,1364.35,1652,1099,60.05,1217,806,60.16,853,577,59.65,88,49,64.23,83.91,53.53,61.05,860,551,60.95,378,222,63,57,30,65.52,482,329,59.43,18,14,56.25,966,602,61.61,13,5,72.22,10.32,91.51,1.018,221,239,162,836,57.7,534,375,367,59.27
2023-2024,Dmitry Orlov,CAR,D,82,1274.583333,1424,948,60.03,1028,698,59.56,662,501,56.92,53,44,54.64,58.04,43.79,57,598,437,57.78,226,185,54.99,26,24,52,372,252,59.62,16,16,50,892,543,62.16,11,4,73.33,8.01,91.22,0.992,171,261,112,945,60.42,424,407,288,59.55
