Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Brad Marchand,BOS,L,73,924.3,10,22,16,6,32,68.09,121,8.26,12.49,215,164,141,60,6,12,54,27,27,0,0,35,51,33,69,82,14,11,25,30.56
2022-2023,Mason Marchment,DAL,L,68,923.5,8,15,9,6,23,74.19,116,6.9,11.37,210,164,136,48,6,20,60,23,20,2,1,26,36,34,85,103,36,6,10,37.5
2022-2023,Sean Walker,L.A,D,70,921.6666667,3,8,5,3,11,27.5,89,3.37,4.18,177,123,49,11,3,12,36,18,18,0,0,7,29,11,63,113,15,0,0,-
2022-2023,Josh Anderson,MTL,R,69,918.85,15,10,7,3,25,53.19,121,12.4,13.81,212,171,147,61,5,16,68,22,18,2,2,15,16,18,125,58,32,15,17,46.88
2022-2023,Radek Faksa,DAL,C,81,918.1,10,8,5,3,18,69.23,76,13.16,9.42,125,105,86,51,5,10,39,18,17,1,0,10,15,21,84,155,52,231,177,56.62
2022-2023,Brandon Tanev,SEA,L,82,917.8166667,10,16,10,6,26,65,102,9.8,11.89,172,148,102,62,3,12,34,14,12,2,0,20,20,23,169,100,40,3,16,15.79
2022-2023,Phil Kessel,VGK,"C, R",82,917.2833333,12,13,5,8,25,64.1,117,10.26,11.4,212,162,130,51,8,16,26,13,13,0,0,5,23,34,9,47,22,5,7,41.67
2022-2023,Aleksander Barkov,FLA,C,68,911.6166667,12,24,13,11,36,67.92,123,9.76,12.89,199,161,130,62,4,22,6,3,3,0,0,12,27,39,45,68,26,432,380,53.2
2022-2023,Blake Lizotte,L.A,C,81,910.9666667,10,18,14,4,28,65.12,98,10.2,10.36,162,140,99,58,3,12,58,26,24,2,0,30,15,29,91,172,6,365,330,52.52
2022-2023,Pierre Engvall,"NYI, TOR",L,76,909.95,15,10,7,3,25,55.56,120,12.5,11.71,229,165,129,61,5,15,21,8,7,1,0,5,34,25,44,90,5,21,28,42.86
2022-2023,Jamie Benn,DAL,L,82,909.55,17,24,11,13,41,69.49,124,13.71,13.23,225,163,130,60,5,22,28,11,9,2,0,20,36,40,88,51,24,348,212,62.14
2022-2023,Oliver Ekman-Larsson,VAN,D,54,908.6,2,13,9,4,15,40.54,76,2.63,2.58,159,106,42,5,5,11,22,11,11,0,0,7,22,9,52,69,29,0,0,-
2022-2023,Evgenii Dadonov,"DAL, MTL",R,73,908.4166667,7,15,8,7,22,57.89,97,7.22,11.45,178,133,99,58,5,17,18,9,9,0,0,8,30,18,31,52,36,1,5,16.67
2022-2023,Jaycob Megna,"S.J, SEA",D,54,906.9666667,1,9,4,5,10,22.22,54,1.85,2.75,121,75,29,4,1,13,19,8,7,1,0,5,25,11,78,75,11,0,0,-
2022-2023,Zach Whitecloud,VGK,D,59,904.7333333,5,7,4,3,12,30,64,7.81,3.49,139,88,37,8,0,7,37,13,11,1,1,6,22,23,85,136,68,0,0,-
2022-2023,Kevin Labanc,S.J,R,72,901.4333333,13,16,12,4,29,61.7,103,12.62,8.88,204,139,111,41,8,27,32,16,16,0,0,6,25,36,69,49,3,5,3,62.5
2022-2023,Cam York,PHI,D,54,900.55,2,12,7,5,14,36.84,31,6.45,3.44,99,63,42,11,1,5,14,7,7,0,0,13,22,10,41,85,52,0,0,-
2022-2023,Yegor Sharangovich,N.J,C,75,897.8833333,9,14,8,6,23,63.89,111,8.11,13.66,207,157,135,62,5,14,16,8,8,0,0,6,26,28,20,68,3,25,50,33.33
2022-2023,Matt Nieto,"COL, S.J",L,81,897.6833333,11,11,4,7,22,56.41,104,10.58,10.77,158,131,105,54,5,13,16,8,8,0,0,8,18,27,40,86,16,7,8,46.67
2022-2023,Zemgus Girgensons,BUF,L,80,894.6,9,5,1,4,14,66.67,104,8.65,11.11,187,154,112,50,2,14,14,7,7,0,0,14,8,19,92,112,34,57,67,45.97
2022-2023,Andrei Svechnikov,CAR,R,64,889.65,17,16,10,6,33,73.33,141,12.06,15.12,281,215,145,61,6,26,59,24,22,1,1,21,38,33,133,73,15,3,5,37.5
2022-2023,Ross Colton,T.B,C,81,889.3333333,12,11,8,3,23,71.88,123,9.76,14.5,224,180,139,76,8,14,50,18,15,2,1,19,20,36,182,114,3,96,74,56.47
2022-2023,Trent Frederic,BOS,C,79,884.7166667,16,13,6,7,29,61.7,116,13.79,11.99,181,154,124,61,5,22,55,17,10,7,0,18,20,23,105,125,31,22,46,32.35
2022-2023,Nick Holden,OTT,D,65,884.6833333,2,11,5,6,13,41.94,67,2.99,2.96,142,93,36,6,4,10,8,4,4,0,0,3,24,8,71,86,47,0,0,-
2022-2023,Patrice Bergeron,BOS,C,78,882.3666667,14,17,8,9,31,67.39,165,8.48,16.96,279,223,179,78,6,16,8,4,4,0,0,11,13,30,58,61,24,665,398,62.56
2022-2023,Ryan Lomberg,FLA,L,82,882.0333333,12,8,5,3,20,52.63,132,9.09,14.45,215,186,120,67,14,17,71,27,23,3,1,22,12,27,145,91,19,14,14,50
2022-2023,Tanner Jeannot,"NSH, T.B",L,76,881.6166667,5,11,5,6,16,55.17,96,5.21,12.22,174,138,119,61,3,21,100,29,18,10,1,24,27,22,282,140,30,8,11,42.11
2022-2023,Matt Martin,NYI,L,81,881.4833333,7,11,7,4,18,64.29,82,8.54,8.79,160,122,90,41,3,16,63,17,9,7,1,18,20,15,294,78,37,8,17,32
2022-2023,Peyton Krebs,BUF,C,74,873.8833333,7,14,7,7,21,70,67,10.45,6.2,125,95,72,32,3,3,48,20,18,2,0,16,24,17,90,89,18,224,270,45.34
2022-2023,Anton Lundell,FLA,C,73,872.2166667,9,10,5,5,19,48.72,113,7.96,9.76,186,144,99,47,4,13,35,16,15,1,0,16,34,29,25,59,25,210,262,44.49
2022-2023,Sean Kuraly,CBJ,C,71,870.4666667,6,7,5,2,13,56.52,87,6.9,8.61,158,124,82,37,2,19,56,24,23,0,1,13,16,27,184,60,36,428,446,48.97
2022-2023,Nils Lundkvist,DAL,D,60,866.3833333,4,8,4,4,12,33.33,79,5.06,3.08,164,109,41,7,4,17,24,12,12,0,0,4,27,6,48,89,60,0,0,-
2022-2023,Ilya Lyubushkin,BUF,D,68,865.8666667,1,10,4,6,11,35.48,39,2.56,1.24,76,50,17,1,3,1,34,17,17,0,0,9,18,21,83,82,72,0,0,-
