Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2021-2022,Kevin Fiala,MIN,L,82,1036.2,23,30,21,9,53,80.3,170,13.53,16.58,296,234,187,84,12,16,34,16,16,0,0,25,37,30,38,72,15,4,9,30.77
2021-2022,Timo Meier,S.J,R,77,1172.316667,20,33,18,15,53,82.81,245,8.16,21.25,422,339,236,100,17,27,50,25,25,0,0,27,43,46,155,107,13,16,17,48.48
2021-2022,Jason Robertson,DAL,L,74,1078.35,22,30,14,16,52,76.47,159,13.84,14.58,295,211,169,78,5,27,16,8,8,0,0,7,42,45,47,59,20,0,0,-
2021-2022,Jonathan Huberdeau,FLA,"C, L",80,1009.15,17,33,19,14,50,76.92,136,12.5,14.55,210,171,151,75,10,19,52,18,16,0,2,20,62,41,89,67,17,14,31,31.11
2021-2022,Ryan Hartman,MIN,R,82,1119.883333,27,23,17,6,50,65.79,172,15.7,14.53,293,236,163,56,9,22,81,32,28,3,1,33,26,26,59,78,36,398,495,44.57
2021-2022,Nathan MacKinnon,COL,C,65,1034.083333,23,27,19,8,50,73.53,202,11.39,16.12,332,254,191,63,7,25,29,13,12,1,0,32,39,32,59,59,33,332,400,45.36
2021-2022,Jordan Kyrou,STL,C,74,1019.966667,22,28,22,6,50,83.33,149,14.77,12.69,246,188,163,52,17,11,14,7,7,0,0,25,29,33,5,86,19,5,7,41.67
2021-2022,Jesper Bratt,N.J,L,76,1033.116667,21,29,15,14,50,83.33,166,12.65,14.46,262,217,150,61,6,18,14,7,7,0,0,18,34,27,22,70,12,0,3,0
2021-2022,Patrick Kane,CHI,R,78,1298,15,34,23,11,49,75.38,171,8.77,11.88,311,225,137,42,3,8,10,5,5,0,0,14,40,35,8,51,19,4,3,57.14
2021-2022,Jake Guentzel,PIT,L,76,1156.883333,25,24,15,9,49,77.78,184,13.59,19.53,299,235,228,103,7,24,36,17,17,0,0,25,18,34,69,137,32,7,10,41.18
2021-2022,Robert Thomas,STL,C,72,1001.416667,12,37,24,13,49,69.01,81,14.81,10.6,130,116,108,55,3,6,10,5,5,0,0,8,34,53,12,57,15,420,436,49.07
2021-2022,Joe Pavelski,DAL,C,82,1162.466667,14,34,20,14,48,72.73,154,9.09,16.08,256,207,167,95,8,21,12,6,6,0,0,18,37,29,99,50,60,295,266,52.58
2021-2022,Alex Ovechkin,WSH,L,77,1128.55,24,24,14,10,48,73.85,177,13.56,16.27,355,264,205,57,11,11,14,7,7,0,0,11,34,22,149,46,23,4,8,33.33
2021-2022,Roman Josi,NSH,D,80,1570.566667,10,38,23,15,48,58.54,187,5.35,8.15,375,258,103,19,3,28,40,20,20,0,0,17,58,40,62,132,94,0,0,-
2021-2022,Nazem Kadri,COL,C,71,963.7166667,16,32,22,10,48,80,155,10.32,11.82,275,207,134,51,6,15,59,21,17,3,1,29,26,30,45,111,15,403,401,50.12
2021-2022,Andre Burakovsky,COL,L,80,1100.883333,18,30,18,12,48,68.57,119,15.13,9.52,245,168,126,36,4,16,18,9,9,0,0,13,29,26,46,97,30,7,12,36.84
2021-2022,Artemi Panarin,NYR,L,75,1136.183333,13,35,23,12,48,85.71,119,10.92,8.99,233,168,131,31,6,13,8,4,4,0,0,12,51,48,21,46,7,1,0,100
2021-2022,Matt Duchene,NSH,C,78,1123.65,21,26,15,11,47,69.12,142,14.79,14.17,238,193,168,66,6,12,34,14,14,0,0,18,50,28,29,70,23,68,82,45.33
2021-2022,Jeff Skinner,BUF,L,80,1088.15,25,22,19,3,47,74.6,207,12.08,20.93,315,261,207,109,10,18,40,16,15,0,1,23,44,49,26,59,17,56,94,37.33
2021-2022,J.T. Miller,VAN,C,80,1152.483333,19,28,12,16,47,81.03,121,15.7,14.4,213,177,154,73,7,18,37,17,16,1,0,17,41,32,153,71,37,493,400,55.21
2021-2022,Elias Lindholm,CGY,C,82,1144.316667,25,22,11,11,47,55.29,170,14.71,17.19,266,218,204,88,4,17,18,8,8,0,0,12,32,34,54,51,34,577,515,52.84
2021-2022,Dylan Larkin,DET,C,71,1059.733333,22,25,17,8,47,81.03,155,14.19,14.57,272,204,159,70,4,23,37,13,11,1,1,17,33,32,68,54,17,431,419,50.71
2021-2022,Conor Garland,VAN,R,77,1075.666667,17,30,20,10,47,79.66,177,9.6,16.05,284,232,165,60,7,18,26,13,13,0,0,31,29,48,50,105,20,1,3,25
2021-2022,Carter Verhaeghe,FLA,C,78,1076.066667,21,25,14,11,46,77.97,149,14.09,15.87,273,206,191,77,9,23,40,19,19,0,0,14,43,55,48,120,13,13,9,59.09
2021-2022,Kyle Connor,WPG,L,79,1241.15,28,18,10,8,46,83.64,201,13.93,17.1,292,239,195,74,8,14,4,2,2,0,0,5,35,45,28,48,20,0,3,0
2021-2022,Mikko Rantanen,COL,R,75,1172.483333,17,29,17,12,46,54.12,147,11.56,14.49,274,214,171,67,7,16,50,24,24,0,0,29,31,42,53,102,33,133,156,46.02
2021-2022,Tage Thompson,BUF,R,78,1044.1,24,22,12,10,46,70.77,170,14.12,14.7,318,234,172,60,12,19,25,11,10,1,0,14,33,39,58,38,20,319,450,41.48
2021-2022,Filip Forsberg,NSH,L,69,932.3166667,26,19,12,7,45,77.59,151,17.22,14.87,272,221,167,64,13,9,16,8,8,0,0,22,37,41,101,45,37,0,0,-
2021-2022,Ivan Barbashev,STL,C,81,1089.566667,17,28,19,9,45,75,86,19.77,10.77,148,118,114,58,2,10,32,16,16,0,0,16,42,37,153,90,19,99,165,37.5
2021-2022,Alexander Kerfoot,TOR,C,82,1055.5,11,32,16,16,43,68.25,104,10.58,9.65,171,140,116,55,7,9,18,9,9,0,0,19,36,27,68,151,54,56,69,44.8
2021-2022,Sam Reinhart,FLA,C,78,1006,14,29,19,10,43,68.25,132,10.61,15.86,230,185,154,83,13,18,11,4,3,1,0,12,35,31,38,139,22,129,136,48.68
2021-2022,David Pastrnak,BOS,R,72,992.8833333,22,21,16,5,43,70.49,202,10.89,15.64,343,274,176,54,15,19,18,9,9,0,0,18,55,30,56,73,12,6,12,33.33
2021-2022,Cale Makar,COL,D,77,1464.383333,13,30,16,14,43,49.43,164,7.93,7.75,341,215,113,12,2,28,22,11,11,0,0,12,36,33,80,68,80,0,0,-
2021-2022,Brad Marchand,BOS,L,70,908.0833333,18,24,14,10,42,80.77,165,10.91,14.96,258,204,155,66,11,25,55,26,25,1,0,31,49,29,64,76,12,9,18,33.33
2021-2022,Mats Zuccarello,MIN,"C, R",70,983.8333333,16,26,19,7,42,67.74,100,16,7.6,177,131,96,32,7,3,20,10,10,0,0,19,28,42,34,38,27,15,23,39.47
2021-2022,Chandler Stephenson,VGK,C,79,1137.716667,11,31,12,19,42,68.85,78,14.1,7.99,122,100,81,43,3,8,22,11,11,0,0,10,23,31,60,127,31,482,474,50.42
2021-2022,Troy Terry,ANA,"C, R",75,1122.316667,23,19,9,10,42,77.78,149,15.44,16.74,249,203,179,83,10,15,24,12,12,0,0,28,37,30,6,96,21,1,6,14.29
2021-2022,Pavel Buchnevich,STL,L,73,983.7166667,15,26,10,16,41,65.08,139,10.79,10.78,213,180,121,42,5,8,24,8,7,0,1,12,32,35,51,68,12,11,17,39.29
2021-2022,Travis Konecny,PHI,"C, R",79,1082.116667,12,29,22,7,41,78.85,165,7.27,14.1,276,214,153,62,7,26,57,22,20,1,1,26,22,22,75,109,28,8,14,36.36
2021-2022,Clayton Keller,ARI,"C, R",67,999.9166667,18,23,14,9,41,73.21,113,15.93,10.42,177,145,109,43,9,13,24,12,12,0,0,21,43,49,16,77,21,16,21,43.24
2021-2022,Brady Tkachuk,OTT,L,79,1133.783333,15,26,20,6,41,73.21,175,8.57,16.33,310,238,178,83,11,20,95,35,30,3,2,35,55,36,252,110,16,76,91,45.51
2021-2022,Taylor Hall,BOS,L,81,1037.116667,10,30,19,11,40,67.8,162,6.17,11.53,245,194,145,60,13,12,38,19,19,0,0,14,37,32,46,148,33,16,17,48.48
2021-2022,Phillip Danault,L.A,"C, L",79,1049.766667,24,16,7,9,40,75.47,146,16.44,17.54,230,198,159,83,4,19,30,12,10,2,0,11,20,18,62,86,18,507,436,53.76
2021-2022,William Nylander,TOR,"C, R",81,1124.3,18,22,19,3,40,72.73,181,9.94,14.96,323,249,191,73,13,21,10,5,5,0,0,8,22,52,17,80,28,26,24,52
2021-2022,Nick Schmaltz,ARI,C,63,900.15,14,26,21,5,40,76.92,87,16.09,8.26,154,120,88,36,4,8,12,6,6,0,0,9,31,44,12,67,21,45,62,42.06
2021-2022,Mason Marchment,FLA,L,54,701.4333333,15,25,11,14,40,78.43,111,13.51,13.01,191,151,121,64,8,15,53,21,19,1,1,25,16,24,114,127,9,10,26,27.78
2021-2022,Trevor Zegras,ANA,C,75,1066.233333,12,28,17,11,40,80,137,8.76,12.93,241,188,144,50,7,17,38,18,18,0,0,27,62,38,44,81,21,193,294,39.63
2021-2022,Sidney Crosby,PIT,C,69,1049.983333,15,24,16,8,39,70.91,135,11.11,13.6,218,181,141,75,7,13,26,13,13,0,0,15,37,33,47,64,26,565,542,51.04
2021-2022,John Tavares,TOR,C,79,1112.183333,15,24,11,13,39,68.42,152,9.87,19.59,289,224,208,98,10,23,24,12,12,0,0,16,55,33,83,76,38,612,395,60.77
2021-2022,Mika Zibanejad,NYR,C,81,1101.75,12,27,18,9,39,70.91,126,9.52,11.49,208,169,108,47,10,11,12,6,6,0,0,10,43,47,61,61,34,486,417,53.82
2021-2022,Tomas Hertl,S.J,C,82,1189.25,18,21,14,7,39,65,141,12.77,14.58,264,195,178,87,17,20,24,11,11,0,0,13,24,42,92,90,11,540,490,52.43
2021-2022,Nikolaj Ehlers,WPG,L,62,911.4166667,20,19,14,5,39,70.91,179,11.17,15.22,330,252,190,54,10,21,8,4,4,0,0,19,36,33,27,52,17,1,0,100
2021-2022,Alex DeBrincat,CHI,L,82,1256.666667,18,21,10,11,39,66.1,178,10.11,15.97,304,231,189,59,17,17,8,4,4,0,0,21,37,54,90,97,28,11,24,31.43
2021-2022,Mark Scheifele,WPG,C,67,1084.533333,17,21,12,9,38,69.09,107,15.89,11.92,171,140,128,60,5,11,14,7,7,0,0,18,48,41,29,101,40,299,305,49.5
2021-2022,Tyler Bertuzzi,DET,L,68,1018.333333,18,20,10,10,38,71.7,121,14.88,12.6,204,160,145,64,4,10,43,16,14,1,1,29,47,36,57,65,30,5,9,35.71
2021-2022,Aleksander Barkov,FLA,C,67,884.7333333,15,23,14,9,38,70.37,135,11.11,12.79,201,167,137,68,4,15,14,7,7,0,0,7,33,39,39,61,27,452,353,56.15
2021-2022,Sebastian Aho,CAR,"C, R",79,999.9,15,23,15,8,38,73.08,137,10.95,17.48,233,195,172,90,7,21,28,14,14,0,0,15,37,45,65,63,19,403,373,51.93
2021-2022,Nico Hischier,N.J,C,70,958.5333333,13,25,16,9,38,80.85,97,13.4,10.37,172,134,121,56,5,7,13,5,4,1,0,14,25,37,44,94,17,496,469,51.4
2021-2022,Andrei Svechnikov,CAR,R,78,1030.8,16,22,15,7,38,69.09,161,9.94,16.55,315,244,168,76,9,28,71,34,33,1,0,28,59,38,179,116,10,0,2,0
2021-2022,Cam Atkinson,PHI,R,73,924.0333333,16,21,17,4,37,74,142,11.27,13.69,222,178,128,64,10,20,8,4,4,0,0,6,17,28,19,30,35,4,5,44.44
2021-2022,Victor Hedman,T.B,D,82,1470.45,11,26,11,15,37,48.05,148,7.43,7.09,311,222,109,17,7,23,30,15,15,0,0,8,40,33,81,84,41,0,0,-
2021-2022,Erik Haula,BOS,L,78,991.65,15,22,12,10,37,71.15,119,12.61,11.44,179,154,110,54,8,5,41,18,17,1,0,11,17,19,127,64,27,366,332,52.44
2021-2022,Evgeny Kuznetsov,WSH,C,79,1118.1,13,24,14,10,37,66.07,116,11.21,10.48,204,167,113,52,5,9,38,15,14,0,1,18,35,37,36,41,17,405,533,43.18
2021-2022,Nino Niederreiter,CAR,R,75,979.1166667,18,19,11,8,37,62.71,124,14.52,16.28,212,176,146,84,7,26,30,11,10,0,1,18,43,17,115,126,12,17,20,45.95
2021-2022,Brady Skjei,CAR,D,82,1436.233333,9,28,16,12,37,51.39,170,5.29,7.57,311,237,81,18,5,25,38,19,19,0,0,7,52,43,87,107,53,0,0,-
2021-2022,Andrew Mangiapane,CGY,L,82,989.9333333,23,14,8,6,37,75.51,135,17.04,15.75,234,174,167,87,6,15,22,11,11,0,0,17,34,42,66,58,22,18,28,39.13
2021-2022,Roope Hintz,DAL,"C, L",80,1059.4,24,13,11,2,37,61.67,156,15.38,18.68,262,221,202,95,7,24,24,12,12,0,0,16,39,17,79,75,43,265,234,53.11
2021-2022,Alex Killorn,T.B,"C, L",82,1044.35,14,22,12,10,36,75,106,13.21,11,189,150,139,56,7,8,46,23,23,0,0,20,23,23,73,97,7,1,2,33.33
2021-2022,Justin Faulk,STL,D,76,1425.616667,13,23,7,16,36,39.56,147,8.84,7.65,278,193,90,18,9,13,41,15,13,1,1,7,31,29,134,66,70,0,0,-
2021-2022,Brock Nelson,NYI,C,72,970.0166667,21,15,11,4,36,75,111,18.92,11.51,181,138,135,61,8,12,18,9,9,0,0,16,24,43,24,64,36,406,397,50.56
2021-2022,Zach Hyman,EDM,"C, L",76,1098.033333,19,17,13,4,36,76.6,167,11.38,18.75,271,216,200,109,2,22,18,9,9,0,0,17,26,21,66,125,17,27,23,54
2021-2022,Jonathan Marchessault,VGK,C,76,1097.7,18,18,14,4,36,76.6,187,9.63,16.32,318,249,161,65,8,15,34,13,12,0,1,8,33,31,57,108,15,36,51,41.38
2021-2022,Morgan Rielly,TOR,D,82,1474.516667,7,29,17,12,36,40,173,4.05,6.73,304,230,90,9,5,11,32,16,16,0,0,7,59,34,79,123,65,0,0,-
2021-2022,Valeri Nichushkin,COL,R,62,866.4333333,15,21,13,8,36,67.92,139,10.79,14.05,209,178,149,78,6,11,8,4,4,0,0,9,20,28,83,59,18,0,1,0
2021-2022,Kris Letang,PIT,D,78,1505.6,6,29,18,11,35,49.3,166,3.61,6.24,302,207,79,10,6,14,39,18,17,1,0,9,53,41,142,135,91,0,0,-
2021-2022,Nikita Kucherov,T.B,R,47,704.9333333,14,21,14,7,35,70,101,13.86,9.17,171,135,104,31,9,9,14,7,7,0,0,12,26,21,27,41,1,0,0,-
2021-2022,Viktor Arvidsson,L.A,L,66,892.0833333,12,23,15,8,35,76.09,181,6.63,15,332,256,189,59,6,19,18,9,9,0,0,13,14,22,20,106,18,12,15,44.44
2021-2022,Mathew Barzal,NYI,C,73,1040.533333,12,23,13,10,35,77.78,119,10.08,12.83,188,153,121,59,8,9,12,6,6,0,0,22,58,40,36,54,14,220,253,46.51
2021-2022,Jack Roslovic,CBJ,C,81,939.55,17,18,12,6,35,72.92,108,15.74,9.9,182,152,101,43,5,10,12,6,6,0,0,6,32,27,57,76,22,312,414,42.98
2021-2022,Anze Kopitar,L.A,C,81,1179.416667,12,22,14,8,34,73.91,137,8.76,12.61,216,183,126,57,7,11,12,6,6,0,0,14,18,37,67,74,19,583,434,57.33
2021-2022,Claude Giroux,"FLA, PHI","C, R",75,1034.283333,13,21,9,12,34,72.34,134,9.7,9.81,214,177,106,40,7,11,24,12,12,0,0,22,25,21,60,55,13,453,326,58.15
2021-2022,Ryan Strome,NYR,C,74,1039.783333,11,23,13,10,34,61.82,108,10.19,10.86,175,143,99,52,8,9,67,28,26,1,1,14,25,26,41,54,12,322,409,44.05
2021-2022,Frederick Gaudreau,MIN,C,76,905.8166667,12,22,11,11,34,69.39,96,12.5,9.06,153,125,103,38,6,12,8,4,4,0,0,9,21,26,41,64,34,338,358,48.56
2021-2022,Patrik Laine,CBJ,L,56,805.8833333,14,20,10,10,34,80.95,99,14.14,7.11,189,135,98,25,2,11,22,11,11,0,0,7,43,23,34,39,13,8,11,42.11
2021-2022,Trevor Moore,L.A,C,81,1029.833333,8,26,16,10,34,72.34,156,5.13,17.18,267,223,146,83,10,24,20,10,10,0,0,15,15,26,67,116,9,20,34,37.04
2021-2022,Nick Suzuki,MTL,C,82,1209.766667,9,25,12,13,34,72.34,110,8.18,10.37,179,144,108,49,8,10,22,11,11,0,0,20,62,40,84,85,44,511,506,50.25
2021-2022,Lucas Raymond,DET,L,82,1172.266667,16,18,8,10,34,65.38,139,11.51,13.73,213,169,139,59,4,17,12,6,6,0,0,18,23,24,58,90,21,8,13,38.1
2021-2022,Patrice Bergeron,BOS,C,73,891.1833333,14,19,10,9,33,67.35,198,7.07,14.76,279,240,159,58,10,21,10,5,5,0,0,10,17,29,66,45,29,670,379,63.87
2021-2022,Phil Kessel,ARI,"C, R",82,1077.75,5,28,15,13,33,66,129,3.88,11.08,227,170,118,45,5,18,36,14,13,0,1,4,44,35,5,18,18,3,5,37.5
2021-2022,Ondrej Palat,T.B,L,77,1016.116667,14,19,11,8,33,62.26,114,12.28,12.24,197,159,140,63,6,15,20,10,10,0,0,8,21,25,114,125,24,2,14,12.5
2021-2022,Yanni Gourde,SEA,C,74,1028.383333,14,19,16,3,33,78.57,99,14.14,10.48,173,142,106,57,6,9,34,14,12,2,0,17,36,40,64,85,21,350,365,48.95
2021-2022,Anthony Duclair,FLA,L,74,879.8333333,18,15,13,2,33,57.89,117,15.38,12.58,175,143,129,63,7,16,28,10,9,0,1,21,47,35,34,90,12,0,1,0
2021-2022,Devon Toews,COL,D,66,1291.516667,7,26,7,19,33,41.77,129,5.43,5.56,218,166,58,15,3,13,20,10,10,0,0,4,22,29,45,37,59,0,0,-
2021-2022,Pierre-Luc Dubois,WPG,L,81,1190.35,9,24,14,10,33,62.26,160,5.63,19.27,278,229,202,103,15,20,72,36,36,0,0,45,35,18,97,121,35,466,544,46.14
2021-2022,Blake Wheeler,WPG,R,65,973.2,12,20,14,6,32,74.42,132,9.09,13.36,203,164,153,66,6,13,30,15,15,0,0,11,32,30,59,49,28,0,11,0
2021-2022,Paul Stastny,WPG,C,71,987.8,14,18,11,7,32,60.38,115,12.17,13.64,156,141,126,88,8,11,10,5,5,0,0,6,20,30,25,36,22,210,136,60.69
2021-2022,Jordan Eberle,SEA,"C, R",79,1114.266667,16,16,9,7,32,68.09,131,12.21,12.85,228,176,146,64,10,6,10,5,5,0,0,7,28,46,43,76,33,5,13,27.78
2021-2022,Ryan O'Reilly,STL,C,78,1053.083333,9,23,14,9,32,69.57,109,8.26,11.46,165,140,122,56,4,7,10,5,5,0,0,20,19,39,18,56,28,579,441,56.76
2021-2022,Chris Kreider,NYR,L,81,1075.366667,20,12,7,5,32,65.31,162,12.35,16.36,270,217,178,94,17,21,16,8,8,0,0,5,34,18,123,37,25,58,57,50.43
2021-2022,Craig Smith,BOS,C,74,920.4,16,16,11,5,32,72.73,158,10.13,13.35,267,211,143,66,13,22,20,10,10,0,0,12,28,20,94,92,25,3,8,27.27
2021-2022,Gabriel Landeskog,COL,L,51,767.85,16,16,10,6,32,66.67,98,16.33,11.46,175,130,119,64,7,10,52,19,16,2,1,13,21,15,86,55,29,174,145,54.55
2021-2022,Shayne Gostisbehere,ARI,D,82,1420.55,12,20,8,12,32,55.17,104,11.54,4.55,210,148,62,11,6,8,24,12,12,0,0,19,68,35,52,72,89,0,0,-
2021-2022,Andreas Johnsson,N.J,L,71,909.1833333,11,21,18,3,32,61.54,101,10.89,10.07,161,130,108,59,6,10,26,13,13,0,0,20,21,26,57,82,13,2,8,20
2021-2022,Oliver Bjorkstrand,CBJ,R,80,1098.45,16,16,13,3,32,78.05,155,10.32,14.63,275,222,147,61,9,21,14,7,7,0,0,18,29,50,78,80,25,8,11,42.11
2021-2022,Andrew Copp,"NYR, WPG",C,72,991.8166667,14,18,8,10,32,69.57,123,11.38,11.94,188,159,128,47,5,8,16,8,8,0,0,6,35,24,43,66,24,240,201,54.42
2021-2022,Conor Sheary,WSH,L,71,893.6,14,18,10,8,32,82.05,103,13.59,10.38,179,152,112,46,6,6,14,7,7,0,0,16,10,36,40,89,31,6,11,35.29
2021-2022,Sam Bennett,FLA,C,71,930.0666667,19,13,10,3,32,55.17,175,10.86,15.23,289,214,189,79,9,18,58,26,24,2,0,25,40,36,110,88,23,332,395,45.67
2021-2022,Victor Olofsson,BUF,L,72,902.1833333,10,22,14,8,32,80,107,9.35,8.78,190,151,106,32,10,13,6,3,3,0,0,3,14,18,8,39,14,0,1,0
2021-2022,Dylan Strome,CHI,C,69,977.8666667,17,15,9,6,32,69.57,106,16.04,10.01,151,128,111,62,3,7,22,11,11,0,0,11,15,40,10,55,30,343,334,50.66
2021-2022,Adam Fox,NYR,D,78,1367.966667,8,24,11,13,32,51.61,105,7.62,4.13,180,130,54,6,3,7,22,11,11,0,0,14,39,60,25,103,95,0,0,-
2021-2022,Martin Necas,CAR,C,78,973.0833333,10,22,15,7,32,68.09,115,8.7,10.53,227,170,118,41,9,10,32,16,16,0,0,14,54,33,54,91,11,19,27,41.3
2021-2022,Yegor Sharangovich,N.J,C,76,1023.183333,16,16,11,5,32,59.26,135,11.85,13.8,235,191,140,65,15,11,23,6,4,1,1,10,35,36,29,65,11,75,111,40.32
2021-2022,Jack Hughes,N.J,C,49,749.9666667,16,16,10,6,32,74.42,123,13.01,13.01,219,168,137,57,11,14,0,0,0,0,0,14,49,44,5,62,9,116,219,34.63
2021-2022,Seth Jarvis,CAR,C,68,821.05,14,18,10,8,32,66.67,89,15.73,12.51,164,134,117,64,6,15,14,7,7,0,0,12,26,14,66,147,18,11,13,45.83
2021-2022,Dawson Mercer,N.J,C,82,1124.9,14,18,16,2,32,55.17,130,10.77,13.1,210,162,144,73,12,12,24,11,11,0,0,13,46,53,24,113,16,190,336,36.12
2021-2022,Evgenii Dadonov,VGK,R,78,1006.05,12,19,15,4,31,62,143,8.39,12.47,248,187,145,66,9,22,18,9,9,0,0,11,26,16,58,123,20,1,4,20
2021-2022,Brayden Schenn,STL,C,62,865.7666667,13,18,13,5,31,64.58,70,18.57,7.56,134,99,96,38,5,5,27,9,6,3,0,10,20,35,112,36,16,249,268,48.16
2021-2022,Vincent Trocheck,CAR,C,81,992.2166667,11,20,9,11,31,64.58,116,9.48,13.69,216,180,146,69,8,16,68,27,24,2,1,24,27,33,176,97,28,506,427,54.23
2021-2022,Artturi Lehkonen,"COL, MTL",L,74,869.35,14,17,12,5,31,83.78,133,10.53,15.43,230,182,142,80,7,18,16,8,8,0,0,10,14,15,72,111,27,8,16,33.33
2021-2022,Max Domi,"CAR, CBJ",C,72,828.3333333,9,22,15,7,31,67.39,80,11.25,7.54,163,115,73,32,5,12,53,25,24,1,0,17,31,35,23,34,9,31,43,41.89
2021-2022,Jake DeBrusk,BOS,L,77,952.4333333,17,14,8,6,31,77.5,146,11.64,13.69,213,177,141,68,9,16,8,4,4,0,0,15,24,32,58,89,20,8,9,47.06
2021-2022,Ross Colton,T.B,C,79,864.2333333,20,11,7,4,31,81.58,138,14.49,14.54,211,177,137,66,10,18,24,8,7,0,1,18,7,27,150,85,19,264,244,51.97
2021-2022,Tanner Jeannot,NSH,L,81,993.45,17,14,8,6,31,77.5,99,17.17,11.05,177,144,124,68,12,11,126,38,23,14,1,24,26,21,301,123,35,6,6,50
2021-2022,Evan Bouchard,EDM,D,81,1306.133333,9,22,10,12,31,50,171,5.26,6.99,343,234,59,10,2,19,24,12,12,0,0,9,64,30,72,83,82,0,0,-
2021-2022,Josh Bailey,NYI,"C, R",74,988.15,12,18,11,7,30,71.43,70,17.14,7.39,121,92,87,38,2,7,6,3,3,0,0,2,39,25,19,35,24,31,47,39.74
2021-2022,Gustav Nyquist,CBJ,C,82,1097.066667,9,21,14,7,30,50.85,89,10.11,8.11,151,118,93,42,3,13,22,11,11,0,0,13,22,35,35,77,40,6,8,42.86
2021-2022,Blake Coleman,CGY,C,81,1025.6,15,15,8,7,30,71.43,197,7.61,17.47,299,245,176,77,5,15,58,26,24,2,0,17,41,26,160,62,33,2,11,15.38
2021-2022,Boone Jenner,CBJ,C,59,876.75,14,16,8,8,30,69.77,111,12.61,10.39,190,156,107,45,5,11,16,8,8,0,0,10,22,28,77,35,45,441,374,54.11
2021-2022,Tom Wilson,WSH,R,78,1061.633333,14,16,7,9,30,52.63,102,13.73,10.21,185,150,109,56,8,8,86,26,18,6,2,27,38,25,208,128,33,10,10,50
2021-2022,Ryan Donato,SEA,C,74,862.3666667,15,15,11,4,30,75,124,12.1,12.08,220,179,123,67,4,13,40,13,10,2,1,15,23,39,60,102,16,7,16,30.43
2021-2022,Brayden Point,T.B,C,66,953.8,15,15,10,5,30,52.63,105,14.29,12.93,189,163,161,73,10,4,31,11,8,3,0,15,19,29,65,68,16,263,274,48.98
2021-2022,Rem Pitlick,"MIN, MTL",C,66,799.3,12,18,11,7,30,68.18,46,26.09,7.09,75,64,59,42,9,5,22,11,11,0,0,4,34,26,24,64,25,33,45,42.31
2021-2022,Anton Lundell,FLA,C,65,790.1,13,17,10,7,30,52.63,102,12.75,9.7,178,135,111,40,6,13,14,7,7,0,0,10,26,38,21,72,41,285,335,45.97
2021-2022,Mikael Backlund,CGY,C,82,1063.183333,10,19,14,5,29,60.42,157,6.37,13.02,266,215,150,53,13,17,26,13,13,0,0,11,38,45,56,50,19,482,459,51.22
