Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2021-2022,Johnny Gaudreau,CGY,L,82,1200.966667,26,46,37,9,72,75,165,15.76,16.84,294,229,187,68,17,13,22,7,6,0,1,21,62,42,7,36,8,1,0,100
2021-2022,Auston Matthews,TOR,C,73,1175.383333,38,28,16,12,66,75,244,15.57,24.59,422,339,307,116,14,27,16,8,8,0,0,12,39,80,60,90,46,629,476,56.92
2021-2022,Matthew Tkachuk,CGY,L,82,1181.766667,26,38,25,13,64,69.57,168,15.48,20.18,307,248,211,102,6,15,58,29,29,0,0,32,78,39,90,53,18,18,18,50
2021-2022,Kirill Kaprizov,MIN,L,81,1149.916667,25,37,26,11,62,83.78,189,13.23,16.92,338,269,186,72,14,18,24,12,12,0,0,38,56,52,64,112,22,3,2,60
2021-2022,Mitchell Marner,TOR,"C, R",72,1054.916667,22,39,22,17,61,78.21,129,17.05,12.56,268,194,156,55,8,8,14,7,7,0,0,11,49,54,66,62,21,3,1,75
2021-2022,Michael Bunting,TOR,L,79,1095.05,21,37,22,15,58,65.91,160,13.13,20.26,266,219,193,105,7,23,68,30,29,0,1,41,21,36,78,96,21,5,7,41.67
2021-2022,Connor McDavid,EDM,C,80,1327.816667,22,36,24,12,58,79.45,207,10.63,22.75,306,258,220,113,7,20,43,15,13,1,1,44,48,66,65,93,23,535,440,54.87
2021-2022,Steven Stamkos,T.B,C,81,1072.133333,22,33,24,9,55,82.09,119,18.49,11.64,211,166,134,57,15,12,28,14,14,0,0,9,19,27,83,67,13,366,385,48.74
2021-2022,Leon Draisaitl,EDM,C,80,1284.716667,26,28,18,10,54,80.6,148,17.57,15.23,256,205,160,72,14,13,38,18,18,0,0,25,68,56,41,124,19,562,509,52.47
2021-2022,Vladimir Tarasenko,STL,R,75,976.5666667,26,27,13,14,53,82.81,156,16.67,15.44,260,205,180,59,8,15,26,9,8,0,1,13,24,16,81,65,34,4,5,44.44
